candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,partisan_lean,primary_pctg,won_primary,race,veteran,lgbtq,elected_official,self_funder,stem,obama_alum,dem_party_support,emily_endorsed,gun_sense_candidate,biden_endorsed,warren_endorsed,sanders_endorsed,our_revolution_endorsed,justice_dems_endorsed,pccc_endorsed,indivisible_endorsed,wfp_endorsed,votevets_endorsed,no_labels_support
Alec Ross,AlecJRoss,,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,None,23.799999,2.3,No,White,No,No,No,No,Yes,Yes,,No,Yes,,,No,No,No,,,No,,
Ben Jealous,BenJealous,,MD,Governor of Maryland,Governor,Regular,6/26/18,Advanced,None,On the Ballot,23.799999,39.599998,Yes,Nonwhite,No,No,No,No,No,No,,No,Yes,,,Yes,Yes,Yes,,,Yes,,
James Jones,,,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,None,23.799999,1.5,No,Nonwhite,No,No,No,No,No,No,,No,No,,,No,No,No,,,No,,
Jim Shea (Maryland),SheaforMD,,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,None,23.799999,8.3000002,No,White,No,No,No,Yes,No,No,,No,Yes,,,No,No,No,,,No,,
Krishanti Vignarajah,KrishVignarajah,,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,None,23.799999,8.1999998,No,Nonwhite,No,No,No,No,No,Yes,,No,Yes,,,No,No,No,,,No,,
Ralph Jaffe,,,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,None,23.799999,1.6,No,White,No,No,No,No,No,No,,No,No,,,No,No,No,,,No,,
Richard Madaleno,RichMadaleno,,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,None,23.799999,5.8000002,No,White,No,Yes,Yes,No,No,No,,No,Yes,,,No,No,No,,,No,,
Rushern Baker III,RushernBaker,,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,None,23.799999,29.4,No,Nonwhite,No,No,Yes,No,No,No,,No,Yes,,,No,No,No,,,No,,
Allison Galbraith,AllisonforMD,,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Lost,None,None,-29.66,28,No,White,No,No,No,No,No,No,,,Yes,,,,No,,,,,No,
Erik Lane,Erik4Congress,,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Lost,None,None,-29.66,2.2,No,White,No,No,No,No,Yes,No,,,No,,,,No,,,,,No,
Jesse Colvin,Colvin4Congress,,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Advanced,None,On the Ballot,-29.66,38,Yes,White,Yes,No,No,No,No,No,,,Yes,,,,No,,,,,Yes,
Michael Brown,SenMDBrown,,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Lost,None,None,-29.66,15,No,,,,,No,,,,,No,,,,No,,,,,No,
Michael Pullen,PullenforUs,,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Lost,None,None,-29.66,12.9,No,White,No,No,No,No,No,No,,,Yes,,,,Yes,,,,,No,
Steve Worton,,,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Lost,None,None,-29.66,3.9000001,No,White,No,No,No,No,No,No,,,No,,,,No,,,,,No,
Andrew Duck,,,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,None,11.89,4.9000001,No,White,Yes,No,No,No,No,No,,No,Yes,,,,No,No,,,No,,
Aruna Miller,andrewjduck,,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,None,11.89,30.700001,No,Nonwhite,No,No,Yes,No,Yes,No,,Yes,Yes,,,,No,No,,,No,,
Chris Graves,ChrisGravesMD06,,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,None,11.89,1.6,No,White,No,No,No,No,No,No,,No,No,,,,No,No,,,No,,
Christopher Hearsey,Hearsey4md6,,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,None,11.89,0.89999998,No,White,No,No,No,No,Yes,No,,No,Yes,,,,No,No,,,No,,
David Trone,davidjtrone,,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Advanced,None,On the Ballot,11.89,40.299999,Yes,White,No,No,No,Yes,No,No,,No,Yes,,,,No,No,,,No,,
George English,GeorgeZokle,,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,None,11.89,1.1,No,White,No,No,No,No,No,No,,No,No,,,,No,No,,,No,,
Nadia Hashimi,HashimiForUS,,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,None,11.89,10.4,No,Nonwhite,No,No,No,No,Yes,No,,No,Yes,,,,No,No,,,No,,
Roger Manno,RogerManno,,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,None,11.89,10.3,No,White,No,No,Yes,No,No,No,,No,Yes,,,,Yes,Yes,,,Yes,,
Adam Cote,CoteForMaine,,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,None,3.51,28.129999,No,White,Yes,No,No,No,No,No,,No,Yes,,,,,,,,No,,
Betsy Sweet,Sweet4Governor,,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,None,3.51,16.459999,No,White,No,Yes,No,No,No,No,,No,Yes,,,,,,,,Yes,,
Diane Russell,MissWrite,,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,None,3.51,2.1600001,No,White,No,No,Yes,No,No,No,,No,Yes,,,,,,,,Yes,,
Donna Dion,,,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,None,3.51,1.27,No,White,No,No,No,No,No,No,,No,Yes,,,,,,,,No,,
Janet T. Mills,JanetMillsforME,,ME,Governor of Maine,Governor,Regular,6/12/18,Advanced,None,On the Ballot,3.51,33.09,Yes,White,No,No,Yes,No,No,No,,Yes,No,,,,,,,,No,,
Mark Dion,dionforgovernor,,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,None,3.51,4.1199999,No,White,No,No,Yes,No,No,No,,No,Yes,,,,,,,,No,,
Mark Eves,MarkEvesforME,,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,None,3.51,14.18,No,White,No,No,Yes,No,No,No,,No,Yes,,,,,,,,Yes,,
Craig Olson,CraigForMe2,,ME,U.S. House Maine District 2,Representative,Regular,6/12/18,Lost,None,None,-8.1300001,8.8299999,No,,No,No,No,No,No,No,,,Yes,,,,,,,,,No,
Jared Golden,golden4congress,,ME,U.S. House Maine District 2,Representative,Regular,6/12/18,Advanced,None,On the Ballot,-8.1300001,46.419998,Yes,,Yes,No,Yes,No,No,No,,,No,,,,,,,,,Yes,
Lucas St. Clair,Lucasstclair,,ME,U.S. House Maine District 2,Representative,Regular,6/12/18,Lost,None,None,-8.1300001,39.240002,No,,No,No,No,No,No,No,,,Yes,,,,,,,,,No,
Zak Ringelstein,RingelsteinME,,ME,U.S. Senate Maine,Senator,Regular,6/12/18,Advanced,None,On the Ballot,3.51,100,Yes,,No,No,No,No,No,No,,,Yes,,,,,,,,,,
Abdul El-Sayed,AbdulElSayed,,MI,Governor of Michigan,Governor,Regular,8/7/18,Lost,None,None,-0.33000001,30.5,No,Nonwhite,No,No,No,No,Yes,No,,No,Yes,,,Yes,Yes,Yes,Yes,,,,
Gretchen Whitmer,gretchenwhitmer,,MI,Governor of Michigan,Governor,Regular,8/7/18,Advanced,None,On the Ballot,-0.33000001,51.799999,Yes,White,No,No,Yes,No,No,No,,Yes,Yes,,,No,No,No,No,,,,
Shri Thanedar,ShriForMI,,MI,Governor of Michigan,Governor,Regular,8/7/18,Lost,None,None,-0.33000001,17.700001,No,Nonwhite,No,No,No,Yes,Yes,No,,No,Yes,,,No,No,No,No,,,,
Frank Accavitti Jr.,FrankAccavitti,,MI,U.S. House Michigan District 10,Representative,Regular,8/7/18,Lost,None,None,-29.58,32,No,White,No,No,Yes,No,No,No,,,,,,,,,,,,,
Kimberly Bizon,electbizon2018,,MI,U.S. House Michigan District 10,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-29.58,41.099998,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,
Michael McCarthy (Michigan),,,MI,U.S. House Michigan District 10,Representative,Regular,8/7/18,Lost,None,None,-29.58,26.9,No,,,,,No,,No,,,,,,,,,,,,,
Fayrouz Saad,FayrouzSaad,,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,None,None,-7.1799998,19.5,No,Nonwhite,No,No,No,No,No,Yes,,,,,,,,Yes,,,,,
Haley Stevens,HaleyLive,,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-7.1799998,27,Yes,White,No,No,No,No,No,Yes,,,,,,,,No,,,,,
Nancy Skinner,CkunateTakjer,,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,None,None,-7.1799998,10.4,No,White,No,No,No,No,No,No,,,,,,,,No,,,,,
Suneel Gupta,suneel,,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,None,None,-7.1799998,21.299999,No,Nonwhite,No,No,No,No,Yes,No,,,,,,,,No,,,,,
Tim Greimel,RepGreimel,,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,None,None,-7.1799998,21.799999,No,White,No,No,Yes,No,No,No,,,,,,,,No,,,,,
Bill Wild,MayorWild,,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Lost,None,None,60.720001,14,No,White,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,
Bill Wild,MayorWild,,MI,U.S. House Michigan District 13,Representative,Special,8/7/18,Lost,None,None,60.720001,15.2,No,White,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,
Brenda Jones,VoteBrendaJones,,MI,U.S. House Michigan District 13,Representative,Special,8/7/18,Advanced,None,On the Ballot,60.720001,37.700001,Yes,Nonwhite,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,
Brenda Jones,VoteBrendaJones,,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Lost,None,None,60.720001,29.200001,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,
Coleman Young II,ColemanYoungII,,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Lost,None,None,60.720001,12,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,
Ian Conyers,ianconyers,,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Lost,None,None,60.720001,6.3000002,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,
Ian Conyers,ianconyers,,MI,U.S. House Michigan District 13,Representative,Special,8/7/18,Lost,None,None,60.720001,11.2,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,
Rashida Tlaib,RashidaTlaib,,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Advanced,None,On the Ballot,60.720001,33.200001,Yes,Nonwhite,No,No,Yes,No,No,Yes,,,,,,,Yes,Yes,Yes,,,,No
Rashida Tlaib,RashidaTlaib,,MI,U.S. House Michigan District 13,Representative,Special,8/7/18,Lost,None,None,60.720001,35.900002,No,Nonwhite,No,No,Yes,No,No,Yes,,,,,,,Yes,Yes,Yes,,,,No
Shanelle Jackson,ElectShanelle,,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Lost,None,None,60.720001,5.3000002,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,
Rob Davidson,DrRobDavidson,,MI,U.S. House Michigan District 2,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-18.959999,100,Yes,White,No,No,No,No,Yes,No,,,Yes,,,,Yes,Yes,,Yes,,,
Cathy Albro,cathyalbro,,MI,U.S. House Michigan District 3,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-11.41,68.199997,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,
Fred Wooden,fred_wooden,,MI,U.S. House Michigan District 3,Representative,Regular,8/7/18,Lost,None,None,-11.41,31.799999,No,White,No,No,No,No,No,No,,,,,,,,,,,,,
Jerry Hilliard,HilliardForCong,,MI,U.S. House Michigan District 4,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-23.129999,66.400002,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,
Zigmond Kozicki,zigpsych,,MI,U.S. House Michigan District 4,Representative,Regular,8/7/18,Lost,None,None,-23.129999,33.599998,No,White,No,No,No,No,No,No,,,,,,,,,,,,,
David Benac,David_Benac,,MI,U.S. House Michigan District 6,Representative,Regular,8/7/18,Lost,None,None,-9.1800003,21.700001,No,White,No,No,No,No,No,No,,,Yes,,,,Yes,Yes,,,,,
George Franklin,franklin4mich,,MI,U.S. House Michigan District 6,Representative,Regular,8/7/18,Lost,None,None,-9.1800003,28.1,No,White,No,No,No,No,No,No,,,Yes,,,,No,No,,,,,
Matt Longjohn,MattLongjohn,,MI,U.S. House Michigan District 6,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-9.1800003,37.299999,Yes,White,No,No,No,No,Yes,No,,,Yes,,,,No,No,,,,,
Rich Eichholz,RichEichholz,,MI,U.S. House Michigan District 6,Representative,Regular,8/7/18,Lost,None,None,-9.1800003,13,No,White,No,No,No,No,Yes,No,,,Yes,,,,No,No,,,,,
Gretchen Driskell,gdriskell,,MI,U.S. House Michigan District 7,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-16.059999,85.199997,Yes,White,No,No,Yes,No,No,No,Yes,Yes,,,,,No,,,,,,
Steven Friday,,,MI,U.S. House Michigan District 7,Representative,Regular,8/7/18,Lost,None,None,-16.059999,14.8,No,White,Yes,No,No,No,No,No,No,No,,,,,Yes,,,,,,
Chris Smith,ChrisSmith2018,,MI,U.S. House Michigan District 8,Representative,Regular,8/7/18,Lost,None,None,-8.3299999,29.1,No,White,No,No,No,No,No,No,,No,,No,,,,,,,,,
Elissa Slotkin,ElissaSlotkin,,MI,U.S. House Michigan District 8,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-8.3299999,70.900002,Yes,White,No,No,No,No,No,Yes,,Yes,,Yes,,,,,,,,,
Andy Levin,Andy_Levin,,MI,U.S. House Michigan District 9,Representative,Regular,8/7/18,Advanced,None,On the Ballot,7.1399999,52.5,Yes,White,No,No,No,No,No,No,,No,Yes,,,,,,,,,,
Ellen Lipton,RepLipton,,MI,U.S. House Michigan District 9,Representative,Regular,8/7/18,Lost,None,None,7.1399999,42.400002,No,White,No,No,Yes,No,Yes,No,,Yes,Yes,,,,,,,,,,
Martin Brook,,,MI,U.S. House Michigan District 9,Representative,Regular,8/7/18,Lost,None,None,7.1399999,5.0999999,No,White,No,No,No,No,No,No,,No,Yes,,,,,,,,,,
Bill Haas,votehaas,,MO,U.S. House Missouri District 2,Representative,Regular,8/7/18,Lost,None,None,-14.18,19.5,No,White,No,No,Yes,No,No,No,,,,,,,,,,,,No,
Cort VanOstran,cortvo,,MO,U.S. House Missouri District 2,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-14.18,41.700001,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,No,
John Messmer,JohnMessmer,,MO,U.S. House Missouri District 2,Representative,Regular,8/7/18,Lost,None,None,-14.18,9.6999998,No,White,No,No,No,No,No,No,,,Yes,,,,,,,,,No,
Mark Osmack,mark_osmack,,MO,U.S. House Missouri District 2,Representative,Regular,8/7/18,Lost,None,None,-14.18,25.200001,No,White,Yes,No,No,No,No,No,,,Yes,,,,,,,,,Yes,
Robert Hazel,RobertWHazel69,,MO,U.S. House Missouri District 2,Representative,Regular,8/7/18,Lost,None,None,-14.18,4,No,White,No,No,No,No,No,No,,,,,,,,,,,,No,
Katy Geppert,KatyforCongress,,MO,U.S. House Missouri District 3,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-38.259998,100,Yes,White,No,No,No,No,Yes,No,,,Yes,,,,,,,,,,
Hallie Thompson,HallieForMO,,MO,U.S. House Missouri District 4,Representative,Regular,8/7/18,Lost,None,None,-35.73,48.099998,No,White,No,No,No,No,Yes,No,,,Yes,,,,,,,,,,
Renee Hoagenson,ReneeHoagenson,,MO,U.S. House Missouri District 4,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-35.73,51.900002,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,
Ed Andres,,,MO,U.S. House Missouri District 6,Representative,Regular,8/7/18,Lost,None,None,-31.610001,27.700001,No,,,,,No,,No,,,,,,,No,,,,,,
Henry Martin,hmforcongress,,MO,U.S. House Missouri District 6,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-31.610001,41.5,Yes,Nonwhite,Yes,No,No,No,No,No,,,,,,,No,,,,,,
Winston Apple,WinstonApple,,MO,U.S. House Missouri District 6,Representative,Regular,8/7/18,Lost,None,None,-31.610001,30.799999,No,White,No,No,No,No,No,No,,,,,,,Yes,,,,,,
Jamie Schoolcraft,Schoolcraft4Mo,,MO,U.S. House Missouri District 7,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-46.130001,40.599998,Yes,White,Yes,No,Yes,No,Yes,No,,,Yes,,,,,Yes,,,,,
John Farmer de la Torre,farmer4ozarks,,MO,U.S. House Missouri District 7,Representative,Regular,8/7/18,Lost,None,None,-46.130001,21.700001,No,Nonwhite,No,No,No,No,No,No,,,No,,,,,No,,,,,
Kenneth Hatfield,,,MO,U.S. House Missouri District 7,Representative,Regular,8/7/18,Lost,None,None,-46.130001,22.299999,No,,,,,No,,No,,,No,,,,,No,,,,,
Vincent Jennings,vincentjennings,,MO,U.S. House Missouri District 7,Representative,Regular,8/7/18,Lost,None,None,-46.130001,15.4,No,,,,,No,,No,,,Yes,,,,,No,,,,,
Kathy Ellis,ellis4missouri,,MO,U.S. House Missouri District 8,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-51.810001,100,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,
Randy Wadkins,Wadkins2018,,MS,U.S. House Mississippi District 1,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-33.509998,100,Yes,,No,No,No,No,Yes,No,,,,,,,,,,,,,
Michael Aycox,aycoxforms,,MS,U.S. House Mississippi District 3,Representative,Regular,6/5/18,Lost,None,None,-26.129999,30.66,No,,Yes,Yes,No,No,No,No,,,,,,,,,,,,,
Michael Evans,RepEvans45,,MS,U.S. House Mississippi District 3,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-26.129999,69.339996,Yes,,No,No,Yes,No,No,No,,,,,,,,,,,,,
Jeramey Anderson,jerameyanderson,,MS,U.S. House Mississippi District 4,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-42.529999,100,Yes,Nonwhite,No,No,Yes,No,No,No,,,,,,,,,,Yes,,,
David Baria,dbaria,,MS,U.S. Senate Mississippi,Senator,Regular,6/5/18,Advanced,Advanced,On the Ballot,-18.780001,30.98,Yes,White,No,No,Yes,No,No,No,,,,,,,,,,,,,
Howard Sherman,shermanhoward,,MS,U.S. Senate Mississippi,Senator,Regular,6/5/18,Advanced,Lost,None,-18.780001,31.790001,No,White,No,No,No,No,No,No,,,,,,,,,,,,,
Jensen Bohren,BohrenJensen,,MS,U.S. Senate Mississippi,Senator,Regular,6/5/18,Lost,None,None,-18.780001,3.21,No,,No,No,No,No,No,No,,,,,,,,,,,,,
Jerone Garland,,,MS,U.S. Senate Mississippi,Senator,Regular,6/5/18,Lost,None,None,-18.780001,4.8499999,No,Nonwhite,No,No,No,No,Yes,No,,,,,,,,,,,,,
Omeria Scott,,,MS,U.S. Senate Mississippi,Senator,Regular,6/5/18,Lost,None,None,-18.780001,24.200001,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,,,,,,,
Victor Maurice Jr.,,,MS,U.S. Senate Mississippi,Senator,Regular,6/5/18,Lost,None,None,-18.780001,4.96,No,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,
Grant Kier,KierForCongress,,MT,U.S. House Montana At-large District,Representative,Regular,6/5/18,Lost,None,None,-21.41,24.15,No,,No,No,No,No,Yes,No,,,No,,,,No,No,,,,,
Jared Pettinato,Jared_Pettinato,,MT,U.S. House Montana At-large District,Representative,Regular,6/5/18,Lost,None,None,-21.41,2.21,No,,No,No,No,No,No,No,,,No,,,,No,No,,,,,
John Heenan,Heenan4Montana,,MT,U.S. House Montana At-large District,Representative,Regular,6/5/18,Lost,None,None,-21.41,31.709999,No,,No,No,No,Yes,No,No,,,No,,,,Yes,Yes,,,,,
John Meyer,MeyerforMontana,,MT,U.S. House Montana At-large District,Representative,Regular,6/5/18,Lost,None,None,-21.41,3.3399999,No,,No,No,No,No,Yes,No,,,Yes,,,,No,No,,,,,
Kathleen Williams,WilliamsForMT,,MT,U.S. House Montana At-large District,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-21.41,33.52,Yes,,No,No,Yes,No,No,No,,,Yes,,,,No,No,,,,,
Lynda Moss,for_moss,,MT,U.S. House Montana At-large District,Representative,Regular,6/5/18,Lost,None,None,-21.41,5.0599999,No,,No,No,Yes,No,No,No,,,No,,,,No,No,,,,,
David Wilson Brown,davidwbrown,,NC,U.S. House North Carolina District 10,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-25.51,100,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,
Phillip Price,Price4WNC,,NC,U.S. House North Carolina District 11,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-29.559999,40.59,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,
Scott Donaldson,ScottDonaldson4Congress,,NC,U.S. House North Carolina District 11,Representative,Regular,5/8/18,Lost,None,None,-29.559999,28.27,No,White,No,No,No,No,Yes,No,,,No,,,,,,,,,,
Steve Woodsmall,SteveWoodsmall,,NC,U.S. House North Carolina District 11,Representative,Regular,5/8/18,Lost,None,None,-29.559999,31.139999,No,White,Yes,No,No,No,No,No,,,No,,,,,,,,,,
Adam Coker,AdamFromNC,,NC,U.S. House North Carolina District 13,Representative,Regular,5/8/18,Lost,None,None,-11.28,29.860001,No,White,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,
Kathy Manning,KathyManningNC,,NC,U.S. House North Carolina District 13,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-11.28,70.139999,Yes,White,No,No,No,No,No,No,Yes,Yes,No,,,,,,,,,,
Ken Romley,kenromley,,NC,U.S. House North Carolina District 2,Representative,Regular,5/8/18,Lost,None,None,-12.98,32.299999,No,White,No,No,No,Yes,Yes,No,,,Yes,,,,,,,,,,
Linda Coleman,LindaForNC,,NC,U.S. House North Carolina District 2,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-12.98,56,Yes,Nonwhite,No,No,Yes,No,No,No,,,Yes,,,,,,,,,,
Wendy May,ElectWendy2018,,NC,U.S. House North Carolina District 2,Representative,Regular,5/8/18,Lost,None,None,-12.98,11.7,No,White,Yes,Yes,No,No,No,No,,,Yes,,,,,,,,,,
Denise Adams,DDAdamsCongress,,NC,U.S. House North Carolina District 5,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-19.280001,54.400002,Yes,Nonwhite,No,No,Yes,No,No,No,,,No,,,,,No,,,Yes,,
Jenny Marshall,Marshall4House,,NC,U.S. House North Carolina District 5,Representative,Regular,5/8/18,Lost,None,None,-19.280001,45.599998,No,White,No,No,No,No,No,No,,,Yes,,,,,Yes,,,No,,
Gerald Wong,Wong4Congress,,NC,U.S. House North Carolina District 6,Representative,Regular,5/8/18,Lost,None,None,-16.73,22.799999,No,Nonwhite,No,No,No,No,No,No,,,No,,,,,,,No,,,
Ryan Watts,watts4congress,,NC,U.S. House North Carolina District 6,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-16.73,77.199997,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,Yes,,,
Grayson Parker,graysonparker,,NC,U.S. House North Carolina District 7,Representative,Regular,5/8/18,Lost,None,None,-18.98,33,No,White,No,No,No,No,Yes,No,,,No,,,,,,,,,,
Kyle Horton,drkyle4congress,,NC,U.S. House North Carolina District 7,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-18.98,67,Yes,White,No,No,No,No,Yes,No,,,Yes,,,,,,,,,,
Frank McNeill,Frank4NC,,NC,U.S. House North Carolina District 8,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-16.360001,56.099998,Yes,White,No,No,No,No,No,No,,,No,,,,,,,,,,
Marc Tiegel,mtiegel,,NC,U.S. House North Carolina District 8,Representative,Regular,5/8/18,Lost,None,None,-16.360001,20.9,No,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,
Scott Huffman,ElectScottNC08,,NC,U.S. House North Carolina District 8,Representative,Regular,5/8/18,Lost,None,None,-16.360001,23,No,White,Yes,No,No,No,No,No,,,Yes,,,,,,,,,,
Christian Cano,Cano4CongressNC,,NC,U.S. House North Carolina District 9,Representative,Regular,5/8/18,Lost,None,None,-14.13,17.200001,No,Nonwhite,No,Yes,No,No,No,No,No,,,,,,,,,No,,No,
Dan McCready,McCreadyForNC,,NC,U.S. House North Carolina District 9,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-14.13,82.800003,Yes,White,Yes,No,No,No,No,No,Yes,,,,,,,,,Yes,,Yes,
Mac Schneider,mac4northdakota,,ND,U.S. House North Dakota At-large District,Representative,Regular,6/12/18,Advanced,None,On the Ballot,-34.779999,100,Yes,,No,No,Yes,No,No,No,,,,,,,,,,,,,
Bob Krist,bobkristne,,NE,Governor of Nebraska,Governor,Regular,5/15/18,Advanced,None,On the Ballot,-26.76,59.810001,Yes,White,Yes,No,Yes,No,No,No,,,,,,,,,,,No,,
Tyler Davis,TylerDavis4NE,,NE,Governor of Nebraska,Governor,Regular,5/15/18,Lost,None,None,-26.76,11.39,No,White,No,No,No,No,No,No,,,,,,,,,,,No,,
Vanessa Ward,ApostleVWard,ForWardGovernor,NE,Governor of Nebraska,Governor,Regular,5/15/18,Lost,None,None,-26.76,28.799999,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,No,,
Dennis Crawford,DennisPCrawford,,NE,U.S. House Nebraska District 1,Representative,Regular,5/15/18,Lost,None,None,-22.66,33.900002,No,,No,No,No,No,No,No,,,Yes,,,,,,,,No,,
Jessica McClure,Clure4Congress,,NE,U.S. House Nebraska District 1,Representative,Regular,5/15/18,Advanced,None,On the Ballot,-22.66,66.099998,Yes,,No,No,No,No,Yes,No,,,Yes,,,,,,,,No,,
Brad Ashford,RepBradAshford,BradAshford18,NE,U.S. House Nebraska District 2,Representative,Regular,5/15/18,Lost,None,None,-5.98,48.360001,No,,No,No,Yes,No,No,No,Yes,,Yes,,,,,No,No,,No,,
Kara Eastman,karaforcongress,,NE,U.S. House Nebraska District 2,Representative,Regular,5/15/18,Advanced,None,On the Ballot,-5.98,51.639999,Yes,,No,No,No,No,No,No,No,,Yes,,,,,Yes,Yes,,Yes,,
Paul Theobald,Paul_Theobald_,,NE,U.S. House Nebraska District 3,Representative,Regular,5/15/18,Advanced,None,On the Ballot,-54.310001,100,Yes,,No,No,No,No,No,No,,,,,,,,,,,,,
Chris Janicek,,,NE,U.S. Senate Nebraska,Senator,Regular,5/15/18,Lost,None,None,-26.76,20.219999,No,,No,No,No,No,No,No,,,,,,,,,,,,,
Frank Svoboda,,,NE,U.S. Senate Nebraska,Senator,Regular,5/15/18,Lost,None,None,-26.76,11.37,No,,Yes,No,Yes,No,No,No,,,,,,,,,,,,,
Jane Raybould,JaneRaybould,,NE,U.S. Senate Nebraska,Senator,Regular,5/15/18,Advanced,None,On the Ballot,-26.76,63.68,Yes,,No,No,Yes,No,No,No,,,,,,,,,,,,,
Larry Marvin,,,NE,U.S. Senate Nebraska,Senator,Regular,5/15/18,Lost,None,None,-26.76,4.7399998,No,,Yes,No,No,No,No,No,,,,,,,,,,,,,
