candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,partisan_lean,primary_pctg,won_primary,race,veteran,lgbtq,elected_official,self_funder,stem,obama_alum,dem_party_support,emily_endorsed,gun_sense_candidate,biden_endorsed,warren_endorsed,sanders_endorsed,our_revolution_endorsed,justice_dems_endorsed,pccc_endorsed,indivisible_endorsed,wfp_endorsed,votevets_endorsed,no_labels_support
David Peterson,HoldCongresAcct,,CA,U.S. House California District 1,Representative,Regular,6/5/18,Lost,None,None,-21.379999,7.3000002,No,White,No,No,No,No,No,No,,,,,,,No,No,,No,,,
Jessica Holcombe,jjonesholcombe,,CA,U.S. House California District 1,Representative,Regular,6/5/18,Lost,None,None,-21.379999,28.540001,No,White,No,No,No,No,No,No,,,,,,,No,No,,No,,,
Marty Walters,MartyWaltersEnv,,CA,U.S. House California District 1,Representative,Regular,6/5/18,Lost,None,None,-21.379999,20.51,No,White,No,No,No,No,No,No,,,,,,,No,No,,Yes,,,
Dotty Nygard,DottyForTracy,,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,0.62,1.89,No,White,No,No,No,No,Yes,No,No,No,No,,,,Yes,Yes,,No,,,
Josh Harder,joshua_harder,,CA,U.S. House California District 10,Representative,Regular,6/5/18,Advanced,None,On the Ballot,0.62,35.57,Yes,White,No,No,No,No,Yes,No,Yes,No,Yes,,,,No,No,,No,,,
Michael Eggman,eggman4congress,,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,0.62,21.34,No,White,No,No,No,No,No,No,No,No,No,,,,No,No,,No,,,
Mike Barkley,mjbarkl,,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,0.62,4.98,No,White,Yes,No,No,No,Yes,No,No,No,No,,,,No,No,,No,,,
Sue Zwahlen,,,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,0.62,17.049999,No,White,No,No,Yes,No,Yes,No,No,No,No,,,,No,No,,No,,,
Virginia Madueno,VMforCA10,,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,0.62,19.17,No,Nonwhite,No,No,Yes,No,No,No,No,Yes,Yes,,,,No,No,,Yes,,,
TJ Cox,TJCoxCongress,,CA,U.S. House California District 21,Representative,Regular,6/5/18,Advanced,None,On the Ballot,11.87,100,Yes,Nonwhite,No,No,No,No,Yes,No,Yes,No,,,,,,,,,,,
Andrew Janz,JanzAndrew,,CA,U.S. House California District 22,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-13.41,78.830002,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,
Bobby Bliatout,BobbyBliatout,,CA,U.S. House California District 22,Representative,Regular,6/5/18,Lost,None,None,-13.41,12.26,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,
Ricardo Franco,ricojfranco,,CA,U.S. House California District 22,Representative,Regular,6/5/18,Lost,None,None,-13.41,8.9099998,No,Nonwhite,No,No,No,No,Yes,No,,,,,,,,,,,,,
Kurtis Wilson,Kurt4Congress,,CA,U.S. House California District 23,Representative,Regular,6/5/18,Lost,None,None,-25.379999,4.8400002,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,
Mary Helen Barro,BarroFor23,,CA,U.S. House California District 23,Representative,Regular,6/5/18,Lost,None,None,-25.379999,18.200001,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,
