state,total_population,white_pct,black_pct,hispanic_pct,nonwhite_pct,foreignborn_pct,female_pct,age29andunder_pct,age65andolder_pct,median_hh_inc,clf_unemploy_pct,lesshs_pct,lesscollege_pct,lesshs_whites_pct,lesscollege_whites_pct,rural_pct
MA,6742143.0,78.44370312490081,5.504749772199878,8.971257801585569,21.55629687509921,12.53335265100099,51.33293315646496,36.36956339184264,16.689746402411625,68007.28571428571,6.611845533815003,9.0899703794319,61.16257093415268,6.5042537246003365,58.06861237650982,16.754493639542442
MI,9909600.0,88.30042764522264,3.8759228554256095,3.3700939096389977,11.699572354777356,2.6487470637273463,49.58127344121362,34.60294795109196,19.70429216020669,45654.156626506025,8.711058963549055,10.28600462900752,79.19672701937391,9.361510946400315,78.5852209960666,61.6419683957164
MN,5450868.0,89.28564455154896,1.5056885421294173,4.118805419912297,10.714355448451046,3.4839692703343856,49.85451320527172,36.76787660341954,18.398959456230227,55559.85057471264,4.40093216643875,8.708362612663981,77.27601032654036,7.212172548663098,76.5253761601118,61.342741297553275
MS,2989192.0,54.6008031228628,41.19877301583975,2.3673271339375037,45.39919687713722,1.5693978549611418,51.0612502755597,40.23474180197071,15.445538614693492,35626.414634146335,11.058142464526737,20.743195849313885,83.10058708736277,15.422411890662346,78.88963555596794,70.62729153019747
MO,6059651.0,90.72353323481676,3.543051377211889,2.7194023157586003,9.27646676518325,1.7904990596995434,50.14543394462748,37.429702847712285,18.18927540694136,42781.32173913044,6.750043432920171,14.524924021718073,82.33627221888227,13.757443175717073,81.85383539739544,66.8031034681334
MT,1023391.0,86.89835626288723,0.19266085212445933,2.6315749414628375,13.10164373711277,1.6596453189611882,49.31750408488782,34.49193812666456,19.945525715992297,45575.678571428565,5.0855352963768405,8.576667262958361,76.99790431138861,7.870729578825183,75.91542019317706,75.12265328864767
NE,1881259.0,89.86582069809558,0.7868067242173078,6.282964382019974,10.134179301904435,3.1516900152577434,49.98687361219776,35.889719177070475,20.334527376955204,49953.924731182786,3.1601812328489456,8.667256522950746,78.86382126152968,6.665352474216112,77.97583886133063,74.64879506813489
NV,2839172.0,72.84406238540944,2.0865104636960248,16.891644981528223,27.15593761459056,8.494923698002435,47.981455297019885,35.17387000781156,18.363115280071195,55360.176470588245,8.563766880001522,13.420058552954133,82.08206509234068,8.526986803913655,79.6747997313233,49.5029698550324
NH,1327503.0,93.26748598168543,0.9512396428990506,2.24653964653529,6.732514018314567,4.414831016624454,50.37240785555335,34.243726490406324,17.80252376395449,62390.9,5.137241976437736,8.022994118428397,67.55125096611387,7.717319608201661,67.61044369305777,55.37205051328118
NJ,8915456.0,62.9519369421448,11.393807292876286,16.596154405230752,37.0480630578552,17.311855184892238,51.047099092785466,37.25409591811446,15.268556060364848,74407.66666666669,8.020538691721827,11.028939337677963,64.82162204023655,7.111982087918732,60.58031921958644,12.760919218518273
NM,2082669.0,42.166818536593475,1.2368777204747632,47.18749064509686,57.833181463406504,6.98423339502067,49.5347915243273,37.297445822378585,18.95355318234703,40088.81818181818,8.082374199540252,16.81582869203186,78.61497229718697,7.704301611421367,68.97642225191403,48.42408422976861
NY,19697457.0,81.60550580557666,5.777902181920147,7.500759117781727,18.394494194423327,8.043244583907331,50.246188791415996,37.406852790204745,16.622168199044975,56478.3870967742,7.26712975691049,11.480353887428102,73.09437647189125,9.309246614133508,71.02176795293587,44.291174056380946
NC,9940828.0,68.34391825217102,20.210481774690766,6.959241507667124,31.656081747828978,4.877121397495316,50.90312794213082,36.24397032516422,17.972624706893725,42707.56,9.329302120664,16.697501385485268,79.31602749349783,12.733433135413794,76.48858495816235,61.203666064043176
ND,736162.0,87.97897014920827,0.7800021780225778,2.605317592521934,12.021029850791715,1.7630315135262449,48.827066060253344,36.1841872167519,19.724158797890826,57219.886792452824,2.7716206457421886,10.260322141771473,78.33817116643536,9.398303241397633,77.68351232149728,82.5591929256378
OH,11586941.0,90.45342828436745,4.053609846589297,2.5321055423116734,9.546571715632547,1.9794701022551928,50.3020834447726,37.64550059502654,16.572540925360173,49741.875,6.952285303429995,11.82495816595881,80.74483066072334,11.156604860399883,80.39127409673169,48.223985340610724
OK,3875589.0,71.2844884265229,3.4275341613404047,8.585151315830451,28.715511573477112,3.585843452753215,49.745394635162974,39.03905435322771,17.093218296657238,45040.5974025974,6.031940136637293,14.536552607894794,80.92469127568037,12.126023752834284,79.27975842995147,63.63594113716994
OR,3982267.0,81.34511942216072,0.7276077304502763,11.457692518895,18.65488057783929,6.320042484335293,50.0350309020681,34.953118921254465,20.181389106389265,46481.13888888888,8.829103724902941,11.352496996069641,76.81839709209898,8.289124695389413,75.56706189090076,44.37081771451909
PA,12783977.0,88.50000507764857,4.491639780004132,4.058835881261288,11.49999492235141,3.3507836654988163,49.81903906860735,35.41506458602243,18.447866070335838,51513.014925373136,6.63254191399835,11.192854214918652,77.88785929966099,10.226549358276225,77.23443448613372,47.427207152950075
RI,1054491.0,84.78997278053215,2.9960200387647684,7.162215033807652,15.210027219467836,9.112929489184262,51.5086041657024,36.101217932229936,17.543897702043818,66994.8,6.786113487192818,9.675480028577104,60.88133674366407,8.436294099321284,59.95097844028875,11.51069724593307
SC,4834605.0,57.10924436204072,35.618157539795845,4.371627605231098,42.89075563795925,3.4285303681865265,50.969022435474145,37.53975935325592,17.099527453064926,40876.19565217391,9.868438005054589,17.632874159535827,80.17848880855941,13.15613617183682,75.9453224571045,54.976145194482214
SD,836795.0,81.49696959118401,0.6159869671003523,2.4632532595402594,18.503030408816,1.7791685115892326,49.467107354625426,38.54352955511922,18.46681346317902,49129.21538461538,4.871803916068969,10.543176002488194,77.44796464090511,8.295680501452635,75.65444920817511,78.17371873945423
TN,6548009.0,86.63768272883634,7.228038726774485,3.2749718577925515,13.362317271163654,2.46012939760728,50.460848185456115,36.04763383873839,17.838478808268185,41394.17894736842,8.452751064541381,18.035754663984726,83.75983134878825,16.984062269117885,82.97687309016645,66.43503546079732
TX,26956435.0,57.15613901613861,6.160964075176381,33.99337894362064,42.84386098386139,9.529845032652169,49.160628143217174,39.634613401723115,17.042170542738393,48039.81496062992,6.348108691893862,20.530667413034802,81.7420501077284,10.441169429661489,75.66928585573504,55.52024148878557
UT,2948427.0,85.59567592811754,0.4536439049898507,8.80152464634534,14.404324071882474,4.471358420404245,49.071879296652405,45.21524997793989,13.661901500945024,56679.13793103449,5.32510003712066,8.645203881516638,75.24551362536224,6.113251500614213,73.40396296942069,48.35427298651342
VT,626249.0,94.38078257353055,0.7521287397106019,1.6048591754672634,5.619217426469418,3.5321194378916685,50.47368026474677,34.05567047447535,18.07356648081653,53851.285714285725,5.2575821164104335,8.978460899134422,67.89710840824321,8.666798184109162,67.82586295658484,75.37297954208881
VA,8310301.0,71.97257215581345,18.552612709287086,4.941768983855927,28.02742784418657,5.249692828201921,50.61578477700887,36.4734202151339,17.64445920877288,54078.41353383459,6.622902078881358,14.82689254458188,74.47146248659784,11.952205020874267,71.31798004535428,51.98952042002878
WA,7073146.0,76.79580164606308,1.2491872296061284,13.751883455454605,23.20419835393693,8.595875052251483,49.978376803398284,37.02796989557456,18.63795480794956,51859.74358974359,7.5940157492090385,11.645107250654984,74.83370270699209,7.358331248967028,72.90268205854456,44.78657473610433
WV,1846092.0,94.53306670647983,2.321966426120044,1.1881363339567963,5.466933293520159,1.0553984952664703,50.133873369411,34.00805546892075,18.909010575564093,40361.709090909084,8.356573633729234,16.760980664803995,84.0928931600366,16.762960605210658,84.11625935602353,69.20295214684225
WI,5754798.0,89.5254228587207,1.5365939093233694,3.5385108409315107,10.474577141279305,2.6526294462084183,49.59590725229664,35.25427420990901,18.35243638156276,51908.88888888888,5.399688445003995,8.940886735352366,77.84954923898513,7.833177737883997,77.01966612623252,60.11378079549344
WY,583029.0,86.94666439712502,0.5955918951390171,8.177245109986439,13.053335602874967,3.250055920609641,48.952957135601714,38.04635653289989,15.924230476524055,57060.130434782615,4.5258156386298225,7.982163837465763,75.42526910842196,6.085841193171843,73.97579056802387,50.53031674824014
