candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,partisan_lean,primary_pctg,won_primary,race,veteran,lgbtq,elected_official,self_funder,stem,obama_alum,dem_party_support,emily_endorsed,gun_sense_candidate,biden_endorsed,warren_endorsed,sanders_endorsed,our_revolution_endorsed,justice_dems_endorsed,pccc_endorsed,indivisible_endorsed,wfp_endorsed,votevets_endorsed,no_labels_support,count_negative,count_neutral,count_positive,sentiment,has_twitter,num_endorsements
Kyle Brenden Moore,,,IN,U.S. House Indiana District 5,Representative,Regular,5/8/18,Lost,None,None,-15.58,23.700001,No,Nonwhite,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,False,0
Sean Dugdale,,,IN,U.S. House Indiana District 5,Representative,Regular,5/8/18,Lost,None,None,-15.58,5.5,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,False,0
George Thomas Holland,,,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Lost,None,None,-38.529999,11.1,No,White,Yes,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,False,0
Jeannine Lee Lake,JeannineLeeLake,,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-38.529999,38.299999,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,71.0,64.0,300.0,3.052873563218391,True,0
Jim Pruett,PruettforIN,,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Lost,None,None,-38.529999,25.799999,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,5.0,5.0,31.0,3.268292682926829,True,0
Joshua Williamson,,,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Lost,None,None,-38.529999,7.3000002,No,White,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,False,0
K. Lave,,,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Lost,None,None,-38.529999,1.9,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,False,0
Lane Siekman,LaneSiekman,,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Lost,None,None,-38.529999,15.6,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,339.0,226.0,324.0,1.9662542182227218,True,0
Daniel Canon,dancanon,,IN,U.S. House Indiana District 9,Representative,Regular,5/8/18,Lost,None,None,-26.83,30.700001,No,White,No,No,No,No,No,No,,No,,,No,,,Yes,No,,No,,,829.0,659.0,1065.0,2.1848805327066203,True,1
Liz Watson,LizSchoffWatson,,IN,U.S. House Indiana District 9,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-26.83,66.400002,Yes,White,No,No,No,No,No,No,,Yes,,,Yes,,,No,Yes,,Yes,,,0.0,0.0,0.0,,True,4
Rob Chatlos,chatcub71,,IN,U.S. House Indiana District 9,Representative,Regular,5/8/18,Lost,None,None,-26.83,2.9000001,No,White,No,No,No,No,No,No,,No,,,No,,,No,No,,No,,,292.0,225.0,230.0,1.8340026773761715,True,0
Arden Andersen,AndersenKS2018,,KS,Governor of Kansas,Governor,Regular,8/7/18,Lost,None,None,-23.41,7.900000099999999,No,White,Yes,No,No,No,Yes,No,,No,No,,,,,,,,,,,83.0,53.0,119.0,2.2823529411764705,True,0
Carl Brewer,BrewerForKansas,,KS,Governor of Kansas,Governor,Regular,8/7/18,Lost,None,None,-23.41,20.6,No,Nonwhite,Yes,No,Yes,No,No,No,,No,No,,,,,,,,,,,68.0,78.0,363.0,3.1591355599214146,True,0
Jack Bergeson,jackbergesongov,votebergeson18,KS,Governor of Kansas,Governor,Regular,8/7/18,Lost,None,None,-23.41,2.5999999,No,White,No,No,No,No,No,No,,No,No,,,,,,,,,,,0.0,0.0,0.0,,True,0
Joshua Svaty,JoshuaSvaty,,KS,Governor of Kansas,Governor,Regular,8/7/18,Lost,None,None,-23.41,17.799999,No,White,No,No,No,No,No,No,,No,Yes,,,,,,,,,,,53.0,58.0,329.0,3.2545454545454544,True,1
Laura Kelly,LauraKellyKS,,KS,Governor of Kansas,Governor,Regular,8/7/18,Advanced,None,On the Ballot,-23.41,51.400002,Yes,White,No,No,Yes,No,No,No,,Yes,No,,,,,,,,,,,86.0,100.0,467.0,3.1669218989280243,True,1
Paul Davis,PaulDavisKS,,KS,U.S. House Kansas District 2,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-19.73,100.0,Yes,White,No,No,Yes,No,No,No,,,,,,,,,,,,,,168.0,104.0,238.0,2.2745098039215685,True,0
Brent Welder,BrentWelder,,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,None,None,-4.0100002,33.900002,No,White,No,No,No,No,No,Yes,,No,Yes,,,Yes,Yes,Yes,Yes,No,,,,124.0,144.0,603.0,3.0998851894374284,True,5
Jay Sidie,Jay4Congress,,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,None,None,-4.0100002,2.9000001,No,White,No,No,No,No,No,No,,No,No,,,No,No,No,No,No,,,,0.0,0.0,0.0,,True,0
Mike McCamon,mikeforkansas,,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,None,None,-4.0100002,6.900000099999999,No,White,No,No,No,No,Yes,No,,No,No,,,No,No,No,No,No,,,,30.0,35.0,212.0,3.3140794223826715,True,0
Sharice Davids,sharicedavids,,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-4.0100002,37.299999,Yes,Nonwhite,No,Yes,No,No,No,No,,Yes,No,,,No,No,No,No,Yes,,,,93.0,74.0,798.0,3.461139896373057,True,2
Sylvia Williams,SylviaForKansas,,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,None,None,-4.0100002,4.6999998,No,White,No,No,No,No,No,No,,No,No,,,No,No,No,No,No,,,,0.0,0.0,0.0,,True,0
Tom Niermann,TomNiermann,,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,None,None,-4.0100002,14.3,No,White,No,No,No,No,No,No,,No,No,,,No,No,No,No,Yes,,,,61.0,45.0,146.0,2.6746031746031744,True,1
James Thompson,JamesThompsonKS,,KS,U.S. House Kansas District 4,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-29.309998999999998,65.300003,Yes,White,Yes,No,No,No,No,No,,,Yes,,,Yes,Yes,Yes,,,,,,414.0,382.0,1718.0,3.0373906125696104,True,4
Laura Lombard,LauraforKansas,,KS,U.S. House Kansas District 4,Representative,Regular,8/7/18,Lost,None,None,-29.309998999999998,34.700001,No,White,No,No,No,No,No,No,,,Yes,,,No,No,No,,,,,,6.0,12.0,61.0,3.3924050632911382,True,1
Alonzo Pennington,Pennington4KY,,KY,U.S. House Kentucky District 1,Representative,Regular,5/22/18,Lost,None,None,-47.48,25.4,No,White,No,No,No,No,No,No,,,,,,,No,,,No,,,,12.0,18.0,94.0,3.3225806451612905,True,0
Paul Walker,votepaulwalker,,KY,U.S. House Kentucky District 1,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-47.48,74.599998,Yes,White,No,No,No,No,No,No,,,,,,,Yes,,,Yes,,,,27.0,10.0,42.0,2.3797468354430378,True,2
Brian Pedigo,,,KY,U.S. House Kentucky District 2,Representative,Regular,5/22/18,Lost,None,None,-39.509997999999996,28.68,No,White,No,No,No,No,No,No,,,,,,,No,,,,,,,,,,,False,0
Grant Short,Grant4KY,,KY,U.S. House Kentucky District 2,Representative,Regular,5/22/18,Lost,None,None,-39.509997999999996,19.59,No,White,No,No,No,No,No,No,,,,,,,Yes,,,,,,,12.0,15.0,44.0,2.901408450704225,True,1
Hank Linderman,hank4ky,,KY,U.S. House Kentucky District 2,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-39.509997999999996,30.02,Yes,White,No,No,No,No,No,No,,,,,,,No,,,,,,,43.0,37.0,61.0,2.25531914893617,True,0
Rane Eir Olivia Sessions,RaneSessions,,KY,U.S. House Kentucky District 2,Representative,Regular,5/22/18,Lost,None,None,-39.509997999999996,21.719998999999998,No,White,Yes,No,No,No,No,No,,,,,,,No,,,,,,,340.0,286.0,322.0,1.962025316455696,True,0
Christina Lord,Lord4Congress,,KY,U.S. House Kentucky District 4,Representative,Regular,5/22/18,Lost,None,None,-36.610001000000004,21.709999,No,White,No,No,No,No,No,No,,,No,,,,,,,,,,,140.0,120.0,154.0,2.0676328502415457,True,0
Patti Piatt,PiattPatti,,KY,U.S. House Kentucky District 4,Representative,Regular,5/22/18,Lost,None,None,-36.610001000000004,37.529999,No,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,533.0,471.0,1288.0,2.658813263525305,True,1
Seth Hall,HallCongress,,KY,U.S. House Kentucky District 4,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-36.610001000000004,40.77,Yes,White,No,No,No,No,No,No,,,No,,,,,,,,,,,65.0,62.0,299.0,3.0985915492957745,True,0
Kenneth Stepp,ppetsnek,,KY,U.S. House Kentucky District 5,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-62.060001,58.689999,Yes,White,Yes,No,No,No,No,No,,,,,,,,,,,,,,0.0,1.0,6.0,3.7142857142857135,True,0
Scott Sykes,ScottSykesforKY,,KY,U.S. House Kentucky District 5,Representative,Regular,5/22/18,Lost,None,None,-62.060001,41.310001,No,White,No,No,Yes,No,No,No,,,,,,,,,,,,,,32.0,34.0,109.0,2.88,True,0
Amy McGrath,AmyMcGrathKY,,KY,U.S. House Kentucky District 6,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-17.41,48.66,Yes,White,Yes,No,No,No,No,No,,,,,,,,,,,,Yes,,373.0,214.0,703.0,2.511627906976744,True,1
Daniel Kemph,,,KY,U.S. House Kentucky District 6,Representative,Regular,5/22/18,Lost,None,None,-17.41,1.23,No,White,No,No,No,No,No,No,,,,,,,,,,,,No,,,,,,False,0
Geoff Young,GeoffYoung4KY,,KY,U.S. House Kentucky District 6,Representative,Regular,5/22/18,Lost,None,None,-17.41,1.5700001000000001,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,63.0,23.0,31.0,1.4529914529914532,True,0
Jim Gray,JimGrayCongress,JimGrayLexKY,KY,U.S. House Kentucky District 6,Representative,Regular,5/22/18,Lost,None,None,-17.41,40.509997999999996,No,White,No,Yes,Yes,No,No,No,,,,,,,,,,,,,,31.0,22.0,144.0,3.1472081218274117,True,0
Reggie Thomas,ReggieThomasKY,,KY,U.S. House Kentucky District 6,Representative,Regular,5/22/18,Lost,None,None,-17.41,7.1999998,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,,,,,,No,,109.0,94.0,423.0,3.0031948881789137,True,0
Theodore Green,,,KY,U.S. House Kentucky District 6,Representative,Regular,5/22/18,Lost,None,None,-17.41,0.82999998,No,White,No,No,No,No,No,No,,,,,,,,,,,,No,,,,,,False,0
Alec Ross,AlecJRoss,,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,None,23.799999,2.3,No,White,No,No,No,No,Yes,Yes,,No,Yes,,,No,No,No,,,No,,,182.0,191.0,684.0,2.9498580889309367,True,1
Ben Jealous,BenJealous,,MD,Governor of Maryland,Governor,Regular,6/26/18,Advanced,None,On the Ballot,23.799999,39.599998,Yes,Nonwhite,No,No,No,No,No,No,,No,Yes,,,Yes,Yes,Yes,,,Yes,,,516.0,454.0,1462.0,2.7779605263157894,True,5
James Jones,,,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,None,23.799999,1.5,No,Nonwhite,No,No,No,No,No,No,,No,No,,,No,No,No,,,No,,,,,,,False,0
Jim Shea (Maryland),SheaforMD,,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,None,23.799999,8.300000200000001,No,White,No,No,No,Yes,No,No,,No,Yes,,,No,No,No,,,No,,,111.0,82.0,263.0,2.6666666666666665,True,1
Krishanti Vignarajah,KrishVignarajah,,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,None,23.799999,8.199999799999999,No,Nonwhite,No,No,No,No,No,Yes,,No,Yes,,,No,No,No,,,No,,,0.0,0.0,0.0,,True,1
Ralph Jaffe,,,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,None,23.799999,1.6,No,White,No,No,No,No,No,No,,No,No,,,No,No,No,,,No,,,,,,,False,0
Richard Madaleno,RichMadaleno,,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,None,23.799999,5.8000002,No,White,No,Yes,Yes,No,No,No,,No,Yes,,,No,No,No,,,No,,,253.0,277.0,805.0,2.8269662921348315,True,1
Rushern Baker III,RushernBaker,,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,None,23.799999,29.4,No,Nonwhite,No,No,Yes,No,No,No,,No,Yes,,,No,No,No,,,No,,,109.0,102.0,580.0,3.190897597977244,True,1
Allison Galbraith,AllisonforMD,,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Lost,None,None,-29.66,28.0,No,White,No,No,No,No,No,No,,,Yes,,,,No,,,,,No,,993.0,790.0,1168.0,2.1186038630972552,True,1
Erik Lane,Erik4Congress,,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Lost,None,None,-29.66,2.2,No,White,No,No,No,No,Yes,No,,,No,,,,No,,,,,No,,3.0,6.0,15.0,3.0,True,0
Jesse Colvin,Colvin4Congress,,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Advanced,None,On the Ballot,-29.66,38.0,Yes,White,Yes,No,No,No,No,No,,,Yes,,,,No,,,,,Yes,,179.0,133.0,435.0,2.6854082998661317,True,2
Michael Brown,SenMDBrown,,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Lost,None,None,-29.66,15.0,No,,,,,No,,,,,No,,,,No,,,,,No,,37.0,32.0,124.0,2.9015544041450783,True,0
Michael Pullen,PullenforUs,,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Lost,None,None,-29.66,12.9,No,White,No,No,No,No,No,No,,,Yes,,,,Yes,,,,,No,,105.0,85.0,127.0,2.138801261829653,True,2
Steve Worton,,,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Lost,None,None,-29.66,3.9000001,No,White,No,No,No,No,No,No,,,No,,,,No,,,,,No,,,,,,False,0
Andrew Duck,,,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,None,11.89,4.9000001,No,White,Yes,No,No,No,No,No,,No,Yes,,,,No,No,,,No,,,,,,,False,1
Aruna Miller,andrewjduck,,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,None,11.89,30.700001,No,Nonwhite,No,No,Yes,No,Yes,No,,Yes,Yes,,,,No,No,,,No,,,24.0,8.0,18.0,1.76,True,2
Chris Graves,ChrisGravesMD06,,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,None,11.89,1.6,No,White,No,No,No,No,No,No,,No,No,,,,No,No,,,No,,,203.0,81.0,112.0,1.5404040404040404,True,0
Christopher Hearsey,Hearsey4md6,,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,None,11.89,0.89999998,No,White,No,No,No,No,Yes,No,,No,Yes,,,,No,No,,,No,,,406.0,364.0,501.0,2.14948859166011,True,1
David Trone,davidjtrone,,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Advanced,None,On the Ballot,11.89,40.299999,Yes,White,No,No,No,Yes,No,No,,No,Yes,,,,No,No,,,No,,,178.0,78.0,257.0,2.3079922027290447,True,1
George English,GeorgeZokle,,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,None,11.89,1.1,No,White,No,No,No,No,No,No,,No,No,,,,No,No,,,No,,,1.0,0.0,2.0,2.6666666666666665,True,0
Nadia Hashimi,HashimiForUS,,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,None,11.89,10.4,No,Nonwhite,No,No,No,No,Yes,No,,No,Yes,,,,No,No,,,No,,,100.0,65.0,188.0,2.498583569405099,True,1
Roger Manno,RogerManno,,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,None,11.89,10.3,No,White,No,No,Yes,No,No,No,,No,Yes,,,,Yes,Yes,,,Yes,,,15.0,18.0,113.0,3.3424657534246576,True,4
Adam Cote,CoteForMaine,,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,None,3.51,28.129998999999998,No,White,Yes,No,No,No,No,No,,No,Yes,,,,,,,,No,,,13.0,20.0,98.0,3.2977099236641223,True,1
Betsy Sweet,Sweet4Governor,,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,None,3.51,16.459999,No,White,No,Yes,No,No,No,No,,No,Yes,,,,,,,,Yes,,,50.0,44.0,418.0,3.4375,True,2
Diane Russell,MissWrite,,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,None,3.51,2.1600001,No,White,No,No,Yes,No,No,No,,No,Yes,,,,,,,,Yes,,,493.0,488.0,646.0,2.188076213890596,True,2
Donna Dion,,,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,None,3.51,1.27,No,White,No,No,No,No,No,No,,No,Yes,,,,,,,,No,,,,,,,False,1
Janet T. Mills,JanetMillsforME,,ME,Governor of Maine,Governor,Regular,6/12/18,Advanced,None,On the Ballot,3.51,33.09,Yes,White,No,No,Yes,No,No,No,,Yes,No,,,,,,,,No,,,61.0,56.0,222.0,2.949852507374631,True,1
Mark Dion,dionforgovernor,,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,None,3.51,4.1199999,No,White,No,No,Yes,No,No,No,,No,Yes,,,,,,,,No,,,2.0,9.0,21.0,3.1875,True,1
Mark Eves,MarkEvesforME,,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,None,3.51,14.18,No,White,No,No,Yes,No,No,No,,No,Yes,,,,,,,,Yes,,,5.0,12.0,47.0,3.3125,True,2
Craig Olson,CraigForMe2,,ME,U.S. House Maine District 2,Representative,Regular,6/12/18,Lost,None,None,-8.130000099999998,8.8299999,No,,No,No,No,No,No,No,,,Yes,,,,,,,,,No,,0.0,0.0,0.0,,True,1
Jared Golden,golden4congress,,ME,U.S. House Maine District 2,Representative,Regular,6/12/18,Advanced,None,On the Ballot,-8.130000099999998,46.419998,Yes,,Yes,No,Yes,No,No,No,,,No,,,,,,,,,Yes,,48.0,37.0,191.0,3.036231884057971,True,1
Lucas St. Clair,Lucasstclair,,ME,U.S. House Maine District 2,Representative,Regular,6/12/18,Lost,None,None,-8.130000099999998,39.240002000000004,No,,No,No,No,No,No,No,,,Yes,,,,,,,,,No,,56.0,21.0,94.0,2.4444444444444446,True,1
Zak Ringelstein,RingelsteinME,,ME,U.S. Senate Maine,Senator,Regular,6/12/18,Advanced,None,On the Ballot,3.51,100.0,Yes,,No,No,No,No,No,No,,,Yes,,,,,,,,,,,195.0,135.0,233.0,2.134991119005329,True,1
Abdul El-Sayed,AbdulElSayed,,MI,Governor of Michigan,Governor,Regular,8/7/18,Lost,None,None,-0.33000001,30.5,No,Nonwhite,No,No,No,No,Yes,No,,No,Yes,,,Yes,Yes,Yes,Yes,,,,,776.0,613.0,1430.0,2.46399432422845,True,5
Gretchen Whitmer,gretchenwhitmer,,MI,Governor of Michigan,Governor,Regular,8/7/18,Advanced,None,On the Ballot,-0.33000001,51.799999,Yes,White,No,No,Yes,No,No,No,,Yes,Yes,,,No,No,No,No,,,,,228.0,208.0,989.0,3.0680701754385966,True,2
Shri Thanedar,ShriForMI,,MI,Governor of Michigan,Governor,Regular,8/7/18,Lost,None,None,-0.33000001,17.700001,No,Nonwhite,No,No,No,Yes,Yes,No,,No,Yes,,,No,No,No,No,,,,,158.0,152.0,477.0,2.8106734434561624,True,1
Frank Accavitti Jr.,FrankAccavitti,,MI,U.S. House Michigan District 10,Representative,Regular,8/7/18,Lost,None,None,-29.58,32.0,No,White,No,No,Yes,No,No,No,,,,,,,,,,,,,,2.0,0.0,22.0,3.6666666666666665,True,0
Kimberly Bizon,electbizon2018,,MI,U.S. House Michigan District 10,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-29.58,41.099998,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,68.0,85.0,447.0,3.263333333333333,True,0
Michael McCarthy (Michigan),,,MI,U.S. House Michigan District 10,Representative,Regular,8/7/18,Lost,None,None,-29.58,26.9,No,,,,,No,,No,,,,,,,,,,,,,,,,,,False,0
Fayrouz Saad,FayrouzSaad,,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,None,None,-7.179999799999999,19.5,No,Nonwhite,No,No,No,No,No,Yes,,,,,,,,Yes,,,,,,12.0,16.0,51.0,2.9873417721518987,True,1
Haley Stevens,HaleyLive,,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-7.179999799999999,27.0,Yes,White,No,No,No,No,No,Yes,,,,,,,,No,,,,,,145.0,117.0,693.0,3.1476439790575914,True,0
Nancy Skinner,CkunateTakjer,,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,None,None,-7.179999799999999,10.4,No,White,No,No,No,No,No,No,,,,,,,,No,,,,,,0.0,0.0,0.0,,True,0
Suneel Gupta,suneel,,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,None,None,-7.179999799999999,21.299999,No,Nonwhite,No,No,No,No,Yes,No,,,,,,,,No,,,,,,86.0,84.0,257.0,2.8009367681498833,True,0
Tim Greimel,RepGreimel,,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,None,None,-7.179999799999999,21.799999,No,White,No,No,Yes,No,No,No,,,,,,,,No,,,,,,81.0,59.0,309.0,3.0155902004454345,True,0
Bill Wild,MayorWild,,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Lost,None,None,60.720001,14.0,No,White,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,,87.0,64.0,289.0,2.918181818181818,True,0
Bill Wild,MayorWild,,MI,U.S. House Michigan District 13,Representative,Special,8/7/18,Lost,None,None,60.720001,15.2,No,White,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,,87.0,64.0,289.0,2.918181818181818,True,0
Brenda Jones,VoteBrendaJones,,MI,U.S. House Michigan District 13,Representative,Special,8/7/18,Advanced,None,On the Ballot,60.720001,37.700001,Yes,Nonwhite,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,,0.0,1.0,20.0,3.9047619047619047,True,0
Brenda Jones,VoteBrendaJones,,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Lost,None,None,60.720001,29.200001,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,,0.0,1.0,20.0,3.9047619047619047,True,0
Coleman Young II,ColemanYoungII,,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Lost,None,None,60.720001,12.0,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,,42.0,57.0,199.0,3.053691275167785,True,0
Ian Conyers,ianconyers,,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Lost,None,None,60.720001,6.3000002,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,,59.0,61.0,450.0,3.3719298245614038,True,0
Ian Conyers,ianconyers,,MI,U.S. House Michigan District 13,Representative,Special,8/7/18,Lost,None,None,60.720001,11.2,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,,59.0,61.0,450.0,3.3719298245614038,True,0
Rashida Tlaib,RashidaTlaib,,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Advanced,None,On the Ballot,60.720001,33.200001,Yes,Nonwhite,No,No,Yes,No,No,Yes,,,,,,,Yes,Yes,Yes,,,,No,142.0,115.0,384.0,2.7550702028081124,True,3
Rashida Tlaib,RashidaTlaib,,MI,U.S. House Michigan District 13,Representative,Special,8/7/18,Lost,None,None,60.720001,35.900002,No,Nonwhite,No,No,Yes,No,No,Yes,,,,,,,Yes,Yes,Yes,,,,No,142.0,115.0,384.0,2.7550702028081124,True,3
Shanelle Jackson,ElectShanelle,,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Lost,None,None,60.720001,5.3000002,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,,5.0,0.0,20.0,3.2,True,0
Cathy Albro,cathyalbro,,MI,U.S. House Michigan District 3,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-11.41,68.199997,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,24.0,17.0,58.0,2.6868686868686873,True,1
Fred Wooden,fred_wooden,,MI,U.S. House Michigan District 3,Representative,Regular,8/7/18,Lost,None,None,-11.41,31.799999,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,77.0,77.0,128.0,2.3617021276595747,True,0
Jerry Hilliard,HilliardForCong,,MI,U.S. House Michigan District 4,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-23.129998999999998,66.400002,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,9.0,7.0,26.0,2.8095238095238093,True,0
Zigmond Kozicki,zigpsych,,MI,U.S. House Michigan District 4,Representative,Regular,8/7/18,Lost,None,None,-23.129998999999998,33.599998,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,10.0,5.0,6.0,1.619047619047619,True,0
David Benac,David_Benac,,MI,U.S. House Michigan District 6,Representative,Regular,8/7/18,Lost,None,None,-9.180000300000001,21.700001,No,White,No,No,No,No,No,No,,,Yes,,,,Yes,Yes,,,,,,172.0,126.0,441.0,2.7280108254397835,True,3
George Franklin,franklin4mich,,MI,U.S. House Michigan District 6,Representative,Regular,8/7/18,Lost,None,None,-9.180000300000001,28.1,No,White,No,No,No,No,No,No,,,Yes,,,,No,No,,,,,,44.0,37.0,201.0,3.1134751773049647,True,1
Matt Longjohn,MattLongjohn,,MI,U.S. House Michigan District 6,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-9.180000300000001,37.299999,Yes,White,No,No,No,No,Yes,No,,,Yes,,,,No,No,,,,,,8.0,11.0,80.0,3.4545454545454546,True,1
Rich Eichholz,RichEichholz,,MI,U.S. House Michigan District 6,Representative,Regular,8/7/18,Lost,None,None,-9.180000300000001,13.0,No,White,No,No,No,No,Yes,No,,,Yes,,,,No,No,,,,,,2.0,3.0,16.0,3.333333333333333,True,1
Gretchen Driskell,gdriskell,,MI,U.S. House Michigan District 7,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-16.059998999999998,85.199997,Yes,White,No,No,Yes,No,No,No,Yes,Yes,,,,,No,,,,,,,28.0,23.0,235.0,3.4475524475524475,True,2
Steven Friday,,,MI,U.S. House Michigan District 7,Representative,Regular,8/7/18,Lost,None,None,-16.059998999999998,14.8,No,White,Yes,No,No,No,No,No,No,No,,,,,Yes,,,,,,,,,,,False,1
Chris Smith,ChrisSmith2018,,MI,U.S. House Michigan District 8,Representative,Regular,8/7/18,Lost,None,None,-8.3299999,29.1,No,White,No,No,No,No,No,No,,No,,No,,,,,,,,,,44.0,47.0,91.0,2.5164835164835164,True,0
Elissa Slotkin,ElissaSlotkin,,MI,U.S. House Michigan District 8,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-8.3299999,70.900002,Yes,White,No,No,No,No,No,Yes,,Yes,,Yes,,,,,,,,,,105.0,64.0,219.0,2.5876288659793816,True,2
Andy Levin,Andy_Levin,,MI,U.S. House Michigan District 9,Representative,Regular,8/7/18,Advanced,None,On the Ballot,7.139999900000001,52.5,Yes,White,No,No,No,No,No,No,,No,Yes,,,,,,,,,,,95.0,52.0,281.0,2.869158878504673,True,1
Ellen Lipton,RepLipton,,MI,U.S. House Michigan District 9,Representative,Regular,8/7/18,Lost,None,None,7.139999900000001,42.400002,No,White,No,No,Yes,No,Yes,No,,Yes,Yes,,,,,,,,,,,66.0,29.0,129.0,2.5625,True,2
