candidate,twitter_handle,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,primary_pctg,won_primary,rep_party_support,trump_endorsed,bannon_endorsed,great_america_endorsed,nra_endorsed,right_to_life_endorsed,susan_b_anthony_endorsed,club_for_growth_endorsed,koch_support,house_freedom_support,tea_party_endorsed,main_street_endorsed,chamber_endorsed,no_labels_support
25,,30,163,1,1,5,Advanced,None,On the Ballot,53.07,1,1,2,2,2,0,1,0,2,2,0,2,1,1,2
126,,30,163,1,1,5,Lost,None,None,40.78,0,1,2,2,2,1,0,1,2,2,1,2,0,0,2
506,,30,163,1,1,5,Lost,None,None,6.15,0,0,2,2,2,0,0,0,2,2,0,2,0,0,2
333,,30,164,1,1,5,Advanced,None,On the Ballot,93.1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,,30,164,1,1,5,Lost,None,None,6.9,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
689,,30,165,1,1,5,Advanced,None,On the Ballot,49.45,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
406,,30,165,1,1,5,Lost,None,None,29.86,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
739,,30,165,1,1,5,Lost,None,None,20.7,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
338,,30,237,2,1,5,Advanced,None,On the Ballot,47.34,1,2,1,2,2,1,1,2,2,1,2,0,2,2,2
204,,30,237,2,1,5,Lost,None,None,3.88,0,2,0,2,2,0,0,2,2,0,2,0,2,2,2
524,,30,237,2,1,5,Lost,None,None,31.69,0,2,0,2,2,0,0,2,2,0,2,1,2,2,2
499,,30,237,2,1,5,Lost,None,None,13.09,0,2,0,2,2,0,0,2,2,0,2,0,2,2,2
160,,30,237,2,1,5,Lost,None,None,3.99,0,2,0,2,2,0,0,2,2,0,2,0,2,2,2
517,,31,15,0,1,7,Advanced,Lost,None,29.34,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
428,,31,15,0,1,7,Advanced,Advanced,On the Ballot,24.41,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
129,,31,15,0,1,7,Lost,None,None,1.16,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
158,,31,15,0,1,7,Lost,None,None,7.91,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
232,,31,15,0,1,7,Lost,None,None,0.51,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
