candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,partisan_lean,primary_pctg,won_primary,race,veteran,lgbtq,elected_official,self_funder,stem,obama_alum,dem_party_support,emily_endorsed,gun_sense_candidate,biden_endorsed,warren_endorsed,sanders_endorsed,our_revolution_endorsed,justice_dems_endorsed,pccc_endorsed,indivisible_endorsed,wfp_endorsed,votevets_endorsed,no_labels_support,count_negative,count_neutral,count_positive,sentiment,gun_control_tweet_count,health_care_tweet_count,abortion_tweet_count,immigration_tweet_count,education_tweet_count,jobs_tweet_count,environment_tweet_count,women_tweet_count,lgbt_tweet_count,freedom_tweet_count,trump_tweet_count,num_tweets
Jared Golden,golden4congress,,ME,U.S. House Maine District 2,Representative,Regular,6/12/18,Advanced,None,On the Ballot,-8.130000099999998,46.419998,Yes,,Yes,No,Yes,No,No,No,,,No,,,,,,,,,Yes,,48.0,37.0,191.0,3.036231884057971,0,41,0,2,1,19,1,1,0,1,3,276
Lucas St. Clair,Lucasstclair,,ME,U.S. House Maine District 2,Representative,Regular,6/12/18,Lost,None,None,-8.130000099999998,39.240002000000004,No,,No,No,No,No,No,No,,,Yes,,,,,,,,,No,,56.0,21.0,94.0,2.4444444444444446,1,13,0,0,0,7,10,0,0,0,5,171
Zak Ringelstein,RingelsteinME,,ME,U.S. Senate Maine,Senator,Regular,6/12/18,Advanced,None,On the Ballot,3.51,100.0,Yes,,No,No,No,No,No,No,,,Yes,,,,,,,,,,,195.0,135.0,233.0,2.134991119005329,18,45,2,23,14,26,18,0,3,6,86,563
Abdul El-Sayed,AbdulElSayed,,MI,Governor of Michigan,Governor,Regular,8/7/18,Lost,None,None,-0.33000001,30.5,No,Nonwhite,No,No,No,No,Yes,No,,No,Yes,,,Yes,Yes,Yes,Yes,,,,,776.0,613.0,1430.0,2.46399432422845,91,207,5,33,87,100,40,13,22,8,135,2819
Gretchen Whitmer,gretchenwhitmer,,MI,Governor of Michigan,Governor,Regular,8/7/18,Advanced,None,On the Ballot,-0.33000001,51.799999,Yes,White,No,No,Yes,No,No,No,,Yes,Yes,,,No,No,No,No,,,,,228.0,208.0,989.0,3.0680701754385966,13,61,6,6,67,86,11,9,12,6,7,1425
Shri Thanedar,ShriForMI,,MI,Governor of Michigan,Governor,Regular,8/7/18,Lost,None,None,-0.33000001,17.700001,No,Nonwhite,No,No,No,Yes,Yes,No,,No,Yes,,,No,No,No,No,,,,,158.0,152.0,477.0,2.8106734434561624,14,38,1,25,49,44,18,2,2,4,28,787
Frank Accavitti Jr.,FrankAccavitti,,MI,U.S. House Michigan District 10,Representative,Regular,8/7/18,Lost,None,None,-29.58,32.0,No,White,No,No,Yes,No,No,No,,,,,,,,,,,,,,2.0,0.0,22.0,3.6666666666666665,0,0,0,0,0,0,0,0,0,0,0,24
Kimberly Bizon,electbizon2018,,MI,U.S. House Michigan District 10,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-29.58,41.099998,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,68.0,85.0,447.0,3.263333333333333,17,13,0,1,14,17,14,1,1,1,5,600
Michael McCarthy (Michigan),,,MI,U.S. House Michigan District 10,Representative,Regular,8/7/18,Lost,None,None,-29.58,26.9,No,,,,,No,,No,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,600
Fayrouz Saad,FayrouzSaad,,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,None,None,-7.179999799999999,19.5,No,Nonwhite,No,No,No,No,No,Yes,,,,,,,,Yes,,,,,,12.0,16.0,51.0,2.9873417721518987,0,2,2,3,0,0,1,3,0,0,5,79
Haley Stevens,HaleyLive,,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-7.179999799999999,27.0,Yes,White,No,No,No,No,No,Yes,,,,,,,,No,,,,,,145.0,117.0,693.0,3.1476439790575914,49,36,0,8,10,34,3,2,3,2,29,955
Nancy Skinner,CkunateTakjer,,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,None,None,-7.179999799999999,10.4,No,White,No,No,No,No,No,No,,,,,,,,No,,,,,,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
Suneel Gupta,suneel,,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,None,None,-7.179999799999999,21.299999,No,Nonwhite,No,No,No,No,Yes,No,,,,,,,,No,,,,,,86.0,84.0,257.0,2.8009367681498833,26,35,1,4,17,25,6,9,2,4,66,427
Tim Greimel,RepGreimel,,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,None,None,-7.179999799999999,21.799999,No,White,No,No,Yes,No,No,No,,,,,,,,No,,,,,,81.0,59.0,309.0,3.0155902004454345,25,19,6,5,15,42,3,3,3,3,11,449
Bill Wild,MayorWild,,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Lost,None,None,60.720001,14.0,No,White,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,,87.0,64.0,289.0,2.918181818181818,1,1,0,6,4,13,2,0,0,2,9,440
