candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,partisan_lean,primary_pctg,won_primary,race,veteran,lgbtq,elected_official,self_funder,stem,obama_alum,dem_party_support,emily_endorsed,gun_sense_candidate,biden_endorsed,warren_endorsed,sanders_endorsed,our_revolution_endorsed,justice_dems_endorsed,pccc_endorsed,indivisible_endorsed,wfp_endorsed,votevets_endorsed,no_labels_support,count_negative,count_neutral,count_positive,sentiment,gun_control_tweet_count,health_care_tweet_count,abortion_tweet_count,immigration_tweet_count,education_tweet_count,jobs_tweet_count,environment_tweet_count,women_tweet_count,lgbt_tweet_count,freedom_tweet_count,trump_tweet_count,num_tweets
Jeff Van Drew,JeffVanDrew,VanDrewForNJ,NJ,U.S. House New Jersey District 2,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-3.96,55.400002,Yes,White,No,No,Yes,No,No,No,Yes,,,,,,,,,No,,,,2.0,2.0,6.0,2.8,1,27,0,4,5,7,7,1,0,3,3,274
Nathan Kleinman,NateKleinman451,NateForCongress,NJ,U.S. House New Jersey District 2,Representative,Regular,6/5/18,Lost,None,None,-3.96,8.6000004,No,,No,No,No,No,No,No,No,,,,,,,,,No,,,,0.0,0.0,0.0,,5,1,0,0,0,0,2,0,0,0,7,40
Tanzie Youngblood,tanziefornj,,NJ,U.S. House New Jersey District 2,Representative,Regular,6/5/18,Lost,None,None,-3.96,19.200001,No,Nonwhite,No,No,No,No,No,No,No,,,,,,,,,Yes,,,,104.0,92.0,589.0,3.2356687898089174,57,23,1,9,6,14,14,4,2,7,18,785
Will Cunningham,willfornj2,,NJ,U.S. House New Jersey District 2,Representative,Regular,6/5/18,Lost,None,None,-3.96,16.799999,No,Nonwhite,No,Yes,No,No,No,No,No,,,,,,,,,No,,,,28.0,22.0,99.0,2.9530201342281877,30,4,0,1,2,3,0,0,4,1,9,149
Andrew Kim,AndyKimNJ,,NJ,U.S. House New Jersey District 3,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-6.0300002,100.0,Yes,Nonwhite,No,No,No,No,No,Yes,Yes,,,Yes,,,,,Yes,,Yes,,,125.0,101.0,483.0,3.0098730606488013,0,0,0,0,0,0,0,0,0,0,0,0
Jim Keady,JWKeady,,NJ,U.S. House New Jersey District 4,Representative,Regular,6/5/18,Lost,None,None,-16.01,42.799999,No,White,No,No,Yes,No,No,No,,,,,,,Yes,,,,Yes,,,66.0,104.0,339.0,3.0726915520628677,28,16,1,5,3,22,11,3,3,0,34,509
Josh Welle,JoshuaWelle,,NJ,U.S. House New Jersey District 4,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-16.01,57.200001,Yes,,Yes,No,No,No,No,No,,,,,,,No,,,,No,,,132.0,145.0,587.0,3.0532407407407414,28,31,3,11,13,19,12,5,21,5,42,864
Goutam Jois,goutamjois,,NJ,U.S. House New Jersey District 7,Representative,Regular,6/5/18,Lost,None,None,-3.26,14.1,No,Nonwhite,No,No,No,No,No,No,No,,,No,,,No,No,,,,,,194.0,209.0,447.0,2.5952941176470588,44,6,0,8,2,10,4,1,0,4,63,850
Peter Jacob,PeterJacobNJ,,NJ,U.S. House New Jersey District 7,Representative,Regular,6/5/18,Lost,None,None,-3.26,19.1,No,Nonwhite,No,No,No,No,No,No,No,,,No,,,Yes,Yes,,,,,,61.0,48.0,160.0,2.7360594795539037,7,27,0,5,4,12,9,1,0,7,9,269
Tom Malinowski,Malinowski,,NJ,U.S. House New Jersey District 7,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-3.26,66.800003,Yes,,No,No,No,No,No,Yes,Yes,,,Yes,,,No,No,,,,,,180.0,108.0,199.0,2.078028747433265,17,28,1,8,1,8,2,2,1,2,63,487
Jeff Apodaca,apo4nm,,NM,Governor of New Mexico,Governor,Regular,6/5/18,Lost,None,None,6.1599998,22.16,No,Nonwhite,No,No,No,Yes,No,No,,No,,,,,,,,,,,,41.0,43.0,383.0,3.464668094218416,6,49,0,3,23,45,15,0,0,0,2,467
Joseph Cervantes,SenJoeCervantes,,NM,Governor of New Mexico,Governor,Regular,6/5/18,Lost,None,None,6.1599998,11.47,No,Nonwhite,No,No,Yes,Yes,No,No,,No,,,,,,,,,,,,73.0,34.0,82.0,2.095238095238096,3,2,0,9,5,3,6,0,0,0,5,189
Michelle Lujan Grisham,Michelle4NM,GovMLG,NM,Governor of New Mexico,Governor,Regular,6/5/18,Advanced,None,On the Ballot,6.1599998,66.379997,Yes,Nonwhite,No,No,Yes,No,No,No,,Yes,,,,,,,,,,,,73.0,95.0,1008.0,3.5901360544217686,22,52,7,22,108,156,54,0,8,1,17,1176
Antoinette Sedillo Lopez,ASL4Justice4all,,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Lost,None,None,13.77,20.610001,No,Nonwhite,No,No,No,No,No,No,,No,No,,No,,Yes,Yes,,,Yes,No,No,107.0,64.0,233.0,2.623762376237624,22,32,1,15,7,24,17,15,5,1,16,404
Damian Lara,Lara_BetterNM,,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Lost,None,None,13.77,3.29,No,Nonwhite,No,No,No,No,No,No,,No,No,,No,,No,No,,,No,No,No,20.0,25.0,126.0,3.239766081871345,8,11,2,11,0,5,8,0,2,0,14,171
Damon Martinez,DamonForNM,,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Lost,None,None,13.77,25.809998999999998,No,Nonwhite,Yes,No,No,No,No,No,,No,No,,No,,No,No,,,No,Yes,Yes,496.0,230.0,729.0,2.3202749140893477,153,28,17,40,18,14,11,23,4,12,150,1455
Debra Haaland,Deb4CongressNM,,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Advanced,None,On the Ballot,13.77,40.59,Yes,Nonwhite,No,No,No,No,No,Yes,,Yes,No,,Yes,,No,No,,,No,No,No,417.0,293.0,1089.0,2.747081712062257,60,93,29,62,30,89,107,8,25,4,173,1799
Patrick Davis,PatDavisNM,,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Lost,None,None,13.77,3.8,No,White,No,Yes,Yes,No,No,No,,No,Yes,,No,,No,No,,,No,No,No,52.0,68.0,361.0,3.2848232848232852,112,10,1,14,4,5,8,0,18,0,44,481
Paul Moya,PaulMoya,,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Lost,None,None,13.77,5.8899999,No,Nonwhite,No,No,No,No,No,No,,No,No,,No,,No,No,,,No,No,No,35.0,31.0,109.0,2.8457142857142856,7,0,0,1,12,3,1,2,0,0,2,175
Madeline Hildebrandt,Mad_Hildebrandt,,NM,U.S. House New Mexico District 2,Representative,Regular,6/5/18,Lost,None,None,-11.88,27.379998999999998,No,,Yes,No,No,No,No,No,No,No,,,,,Yes,,,,,,,120.0,190.0,588.0,3.042316258351893,9,14,1,4,17,16,6,59,2,2,47,898
Xochitl Torres Small,XochforCongress,,NM,U.S. House New Mexico District 2,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-11.88,72.620003,Yes,Nonwhite,No,No,No,No,No,No,Yes,Yes,,,,,No,,,,,,,27.0,21.0,202.0,3.4,4,14,0,5,11,7,1,1,0,1,0,250
Asheesh Dewan,,,NV,Governor of Nevada,Governor,Regular,6/12/18,Lost,None,None,0.94999999,1.01,No,Nonwhite,No,No,No,No,No,No,,No,No,,,,,,,,No,,,,,,,0,0,0,0,0,0,0,0,0,0,0,250
Chris Giunchigliani,Giunchigliani,,NV,Governor of Nevada,Governor,Regular,6/12/18,Lost,None,None,0.94999999,38.860001000000004,No,,No,No,Yes,No,No,No,,Yes,Yes,,,,,,,,Yes,,,92.0,55.0,233.0,2.7421052631578946,26,20,3,6,43,11,10,4,6,2,27,380
David Jones,,,NV,Governor of Nevada,Governor,Regular,6/12/18,Lost,None,None,0.94999999,1.73,No,,No,No,No,No,No,No,,No,No,,,,,,,,No,,,,,,,0,0,0,0,0,0,0,0,0,0,0,380
Henry Thorns,HenryThornsLV,henrythorns4gov,NV,Governor of Nevada,Governor,Regular,6/12/18,Lost,None,None,0.94999999,1.9,No,Nonwhite,No,No,No,No,Yes,No,,No,No,,,,,,,,No,,,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,2
John Bonaventura,,,NV,Governor of Nevada,Governor,Regular,6/12/18,Lost,None,None,0.94999999,2.99,No,,No,No,Yes,No,No,No,,No,No,,,,,,,,No,,,,,,,0,0,0,0,0,0,0,0,0,0,0,2
Steve Sisolak,SteveSisolak,,NV,Governor of Nevada,Governor,Regular,6/12/18,Advanced,None,On the Ballot,0.94999999,50.029999,Yes,,No,No,Yes,No,No,No,,No,Yes,,,,,,,,No,,,197.0,217.0,1923.0,3.4771074026529734,47,81,12,8,82,128,11,2,10,2,49,2337
Clint Koble,Clint4Congress,,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Advanced,None,On the Ballot,-13.78,26.129998999999998,Yes,,No,No,No,No,No,No,,,Yes,,,,No,,,,,,,26.0,23.0,117.0,3.0963855421686746,1,12,1,2,0,2,0,1,1,1,7,166
Jack Schofield Jr.,,,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Lost,None,None,-13.78,7.5,No,,No,No,No,No,No,No,,,No,,,,No,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,166
Jesse Hurley,,,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Lost,None,None,-13.78,8.04,No,,No,No,No,No,No,No,,,No,,,,No,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,166
Patrick Fogarty,PatFogartyNV,,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Lost,None,None,-13.78,23.83,No,,No,No,No,No,Yes,No,,,Yes,,,,Yes,,,,,,,6.0,10.0,42.0,3.2413793103448274,6,4,0,3,0,1,0,0,0,0,1,58
Rick Shepherd,RepRickShepherd,,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Lost,None,None,-13.78,21.280001000000002,No,,No,No,No,No,Yes,No,,,Yes,,,,No,,,,,,,145.0,148.0,222.0,2.2990291262135916,7,32,1,2,9,10,14,0,0,0,31,515
Vance Alm,AlmForCongress,,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Lost,None,None,-13.78,13.22,No,,Yes,No,No,No,No,No,,,No,,,,No,,,,,,,11.0,9.0,76.0,3.3541666666666665,5,8,0,1,1,2,1,0,0,0,0,96
Eric Stoltz,stoltz1420,,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,None,-3.0799999,7.2399998,No,,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
Guy Pinjuv,GuyforNevada,,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,None,-3.0799999,3.5,No,,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,,,5.0,2.0,2.0,1.3333333333333333,1,0,0,0,1,1,1,0,0,0,1,9
Jack Love,bubbagrinch,LoveforNevada,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,None,-3.0799999,5.8000002,No,,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,2.0,4.0,13.0,3.1578947368421053,71,120,3,14,12,13,4,2,1,4,63,985
Michael Weiss,weissfornevada,,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,None,-3.0799999,8.1800003,No,,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,,,80.0,53.0,180.0,2.6389776357827475,12,10,0,4,4,4,2,1,7,2,34,313
Richard Hart,,,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,None,-3.0799999,4.8499999,No,,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,313
Steve Schiffman,VoteSchiffman,,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,None,-3.0799999,3.51,No,,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
Susie Lee,SusieLeeNV,,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Advanced,None,On the Ballot,-3.0799999,66.910004,Yes,,No,No,No,No,No,No,Yes,Yes,Yes,Yes,,,,,,,,,,253.0,154.0,818.0,2.9224489795918367,36,84,6,16,64,42,8,4,11,8,3,1225
Allison Stephens,Allison4Nevada,,NV,U.S. House Nevada District 4,Representative,Regular,6/12/18,Lost,None,None,3.8199998999999996,6.02,No,Nonwhite,No,No,Yes,No,No,No,No,,No,No,,,No,No,,No,,No,,49.0,36.0,111.0,2.6326530612244903,6,31,2,0,14,15,7,0,3,0,3,196
Amy Vilela,Justice4Shalyne,amy4thepeople,NV,U.S. House Nevada District 4,Representative,Regular,6/12/18,Lost,None,None,3.8199998999999996,9.1999998,No,,No,No,No,No,No,No,No,,Yes,No,,,Yes,Yes,,Yes,,No,,2.0,2.0,47.0,3.7647058823529416,29,262,8,47,37,104,22,23,25,11,107,1503
John Anzalone,Nevada4Anzalone,,NV,U.S. House Nevada District 4,Representative,Regular,6/12/18,Lost,None,None,3.8199998999999996,5.8000002,No,,No,No,No,No,No,No,No,,Yes,No,,,No,No,,,,,,21.0,21.0,180.0,3.4324324324324325,7,8,0,0,27,7,3,0,2,0,5,222
Patricia Spearman,Senatorspearman,,NV,U.S. House Nevada District 4,Representative,Regular,6/12/18,Lost,None,None,3.8199998999999996,15.24,No,Nonwhite,Yes,Yes,Yes,No,No,No,No,,Yes,No,,,No,No,,No,,Yes,,76.0,60.0,496.0,3.3291139240506333,38,6,1,14,5,15,22,22,31,5,12,632
Sid Zeller,Zeller4Congress,,NV,U.S. House Nevada District 4,Representative,Regular,6/12/18,Lost,None,None,3.8199998999999996,2.0,No,,Yes,No,No,No,No,No,No,,No,No,,,No,No,,No,,No,,0.0,0.0,4.0,4.0,0,0,0,1,0,0,1,0,0,0,0,4
Steven Horsford,RepHorsford,StevenHorsford,NV,U.S. House Nevada District 4,Representative,Regular,6/12/18,Advanced,None,On the Ballot,3.8199998999999996,61.740002000000004,Yes,Nonwhite,No,No,Yes,No,No,No,Yes,,Yes,Yes,,,No,No,,,,,,0.0,0.0,0.0,,23,46,3,9,13,31,3,0,1,5,33,365
Allen Rheinhart,AllenRheinhart,,NV,U.S. Senate Nevada,Senator,Regular,6/12/18,Lost,None,None,0.94999999,3.3299999,No,Nonwhite,No,No,No,No,No,No,No,No,,No,,,No,,,,,,,263.0,213.0,184.0,1.7606060606060605,3,1,0,0,2,2,1,0,0,1,56,660
Bobby Mahendra,Bobby_Mahendra,,NV,U.S. Senate Nevada,Senator,Regular,6/12/18,Lost,None,None,0.94999999,2.6700001,No,Nonwhite,No,No,No,No,No,No,No,No,,No,,,No,,,,,,,80.0,100.0,162.0,2.47953216374269,5,23,0,6,6,6,3,0,0,2,33,342
Daniel Burleigh,BurleighDaniel,,NV,U.S. Senate Nevada,Senator,Regular,6/12/18,Lost,None,None,0.94999999,2.26,No,,No,No,No,No,No,No,No,No,,No,,,No,,,,,,,286.0,381.0,1668.0,3.18372591006424,24,14,0,11,3,19,2,0,0,3,37,2335
David Drew Knight,ddrewknight,,NV,U.S. Senate Nevada,Senator,Regular,6/12/18,Lost,None,None,0.94999999,4.4299998,No,,No,No,No,No,No,No,No,No,,No,,,No,,,,,,,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
Jacky Rosen,SenJackyRosen,RosenforNevada,NV,U.S. Senate Nevada,Senator,Regular,6/12/18,Advanced,None,On the Ballot,0.94999999,77.110001,Yes,,No,No,Yes,No,Yes,No,Yes,Yes,,Yes,,,No,,,,,,,370.0,209.0,551.0,2.3203539823008845,44,316,42,113,51,96,53,24,26,16,332,2515
Jesse Sbaih,JesseSbaih,,NV,U.S. Senate Nevada,Senator,Regular,6/12/18,Lost,None,None,0.94999999,3.1700001,No,Nonwhite,No,No,No,Yes,No,No,No,No,,No,,,Yes,,,,,,,226.0,187.0,266.0,2.1178203240058906,31,41,2,11,2,12,13,9,0,3,92,679
David Pechefsky,DPforcongress,,NY,U.S. House New York District 1,Representative,Regular,6/26/18,Lost,None,None,-11.63,11.9,No,,No,No,No,No,No,No,,,,,,,,,,,,,,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
Elaine DiMasi,ElaineDiMasi,,NY,U.S. House New York District 1,Representative,Regular,6/26/18,Lost,None,None,-11.63,5.920000099999999,No,,No,No,No,No,Yes,No,,,,,,,,,,,,,,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
Kate Browning,KateBrowningNY,,NY,U.S. House New York District 1,Representative,Regular,6/26/18,Lost,None,None,-11.63,30.32,No,White,No,No,Yes,No,No,No,,,,,,,,,,,,,,15.0,4.0,49.0,3.0,10,2,0,1,1,3,0,0,0,2,5,68
Perry Gershon,perrygershon,,NY,U.S. House New York District 1,Representative,Regular,6/26/18,Advanced,None,On the Ballot,-11.63,35.450001,Yes,,No,No,No,Yes,Yes,No,,,,,,,,,,,,,,125.0,131.0,396.0,2.8312883435582816,60,61,11,9,7,24,13,5,6,1,83,652
Vivian Viloria-Fisher,vivianviloria,,NY,U.S. House New York District 1,Representative,Regular,6/26/18,Lost,None,None,-11.63,16.26,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,,,,,,,,16.0,14.0,14.0,1.9090909090909087,2,5,0,2,1,2,1,0,0,1,5,44
Max Rose,MaxRose4NY,,NY,U.S. House New York District 11,Representative,Regular,6/26/18,Advanced,None,On the Ballot,-8.8100004,62.650002,Yes,,Yes,No,No,No,No,No,Yes,,,,,,,,,,Yes,Yes,,262.0,190.0,501.0,2.5015739769150054,36,21,2,7,3,19,5,4,2,0,39,953
Michael DeVito Jr.,mdevitojr,,NY,U.S. House New York District 11,Representative,Regular,6/26/18,Lost,None,None,-8.8100004,18.42,No,Nonwhite,Yes,No,No,No,No,No,No,,,,,,,,,,No,No,,232.0,227.0,905.0,2.986803519061584,68,55,3,15,8,34,11,5,17,3,24,1364
Omar Vaid,omarvaid,,NY,U.S. House New York District 11,Representative,Regular,6/26/18,Lost,None,None,-8.8100004,8.430000300000001,No,Nonwhite,No,No,No,No,No,No,No,,,,,,,,,,No,No,,367.0,260.0,955.0,2.7433628318584065,33,51,11,45,8,68,13,8,1,3,219,1582
Paul Sperling,PaulSperlingNY,,NY,U.S. House New York District 11,Representative,Regular,6/26/18,Lost,None,None,-8.8100004,2.29,No,,No,No,No,No,No,No,No,,,,,,,,,,No,No,,71.0,43.0,101.0,2.2790697674418605,2,17,0,3,14,17,7,0,0,4,28,215
Radhakrishna Mohan,,,NY,U.S. House New York District 11,Representative,Regular,6/26/18,Lost,None,None,-8.8100004,3.78,No,Nonwhite,No,No,No,No,Yes,No,No,,,,,,,,,,No,No,,,,,,0,0,0,0,0,0,0,0,0,0,0,215
Zach Emig,zachemig2018,,NY,U.S. House New York District 11,Representative,Regular,6/26/18,Lost,None,None,-8.8100004,1.26,No,,No,No,No,No,No,No,No,,,,,,,,,,No,No,,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Delgado,DelgadoforNY19,,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Advanced,None,On the Ballot,-6.079999900000001,21.99,Yes,Nonwhite,No,No,No,No,No,No,,No,Yes,,,,,No,,No,,No,,351.0,190.0,1062.0,2.8870867124142228,19,214,11,13,38,87,36,7,6,7,23,1603
Brian Flynn,brianflynnus,,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Lost,None,None,-6.079999900000001,13.18,No,White,No,No,No,Yes,No,No,,No,No,,,,,No,,No,,No,,161.0,159.0,897.0,3.209531635168447,24,118,18,16,13,52,11,1,15,8,51,1217
David Clegg,davieclegg,,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Lost,None,None,-6.079999900000001,11.08,No,,No,No,No,Yes,No,No,,No,No,,,,,No,,Yes,,No,,398.0,227.0,407.0,2.0174418604651163,0,0,2,7,1,2,1,1,0,3,15,1032
Erin Collier,ErinCollier2018,,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Lost,None,None,-6.079999900000001,4.8600001,No,,No,No,No,No,No,No,,Yes,Yes,,,,,No,,No,,No,,46.0,20.0,103.0,2.674556213017752,10,11,3,5,1,2,3,0,1,0,9,169
Gareth Rhodes,garethtrhodes,,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Lost,None,None,-6.079999900000001,17.85,No,,No,No,No,No,No,No,,No,No,,,,,No,,Yes,,No,,213.0,217.0,1003.0,3.10258199581298,59,50,3,21,4,39,22,4,5,1,45,1433
Jeff Beals,JeffBealsNY19,,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Lost,None,None,-6.079999900000001,13.18,No,,No,No,No,No,No,No,,No,No,,,,,Yes,,No,,No,,66.0,64.0,186.0,2.759493670886076,10,44,4,1,9,18,6,1,0,1,1,316
Pat Ryan,PatRyanWrites,,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Lost,None,None,-6.079999900000001,17.719998999999998,No,,Yes,No,No,No,No,No,,No,No,,,,,No,,Yes,,Yes,,16.0,11.0,64.0,3.0549450549450547,0,0,0,0,0,0,0,3,0,0,0,91
DuWayne Gregory,DuWayneGregory,GregoryForNY2,NY,U.S. House New York District 2,Representative,Regular,6/26/18,Lost,None,None,-8.2600002,41.639998999999996,No,Nonwhite,Yes,No,Yes,No,No,No,,No,Yes,,,,No,,,No,Yes,Yes,,116.0,96.0,158.0,2.227027027027027,54,22,0,3,4,26,8,4,4,5,214,951
Liuba Grechen Shirley,liuba4congress,,NY,U.S. House New York District 2,Representative,Regular,6/26/18,Advanced,None,On the Ballot,-8.2600002,57.98,Yes,,No,No,No,No,No,No,,Yes,Yes,,,,Yes,,,Yes,No,No,,411.0,320.0,1431.0,2.9435707678075858,84,182,17,31,53,63,18,10,28,10,161,2162
Dylan Ratigan,DylanRatigan,,NY,U.S. House New York District 21,Representative,Regular,6/26/18,Lost,None,None,-11.43,11.91,No,,No,No,No,No,No,No,,,No,,,,No,No,,No,No,,,111.0,79.0,284.0,2.729957805907173,7,14,0,6,5,21,6,0,0,0,10,474
Emily Martz,FlipNY45,,NY,U.S. House New York District 21,Representative,Regular,6/26/18,Lost,None,None,-11.43,10.37,No,,No,No,No,No,No,No,,,No,,,,No,No,,No,No,,,83.0,79.0,406.0,3.1373239436619715,13,17,2,5,8,23,12,2,1,6,14,568
Katie Wilson,AdirondacKatie,,NY,U.S. House New York District 21,Representative,Regular,6/26/18,Lost,None,None,-11.43,11.68,No,,No,No,No,No,No,No,,,No,,,,No,No,,No,Yes,,,102.0,92.0,268.0,2.7186147186147185,6,8,0,2,7,10,5,3,0,0,7,462
Patrick Nelson,PatFNelson,,NY,U.S. House New York District 21,Representative,Regular,6/26/18,Lost,None,None,-11.43,9.119999900000002,No,White,No,No,No,No,Yes,No,,,Yes,,,,Yes,Yes,,No,No,,,169.0,156.0,292.0,2.3987034035656403,12,56,0,9,7,6,17,0,0,2,43,617
Tedra Cobb,TedraCobb,,NY,U.S. House New York District 21,Representative,Regular,6/26/18,Advanced,None,On the Ballot,-11.43,56.009997999999996,Yes,,No,No,Yes,No,No,No,,,Yes,,,,Yes,No,,Yes,No,,,120.0,92.0,509.0,3.0790568654646324,12,60,0,6,12,19,13,3,4,5,11,721
Anthony Brindisi,RepBrindisi,ABrindisiNY,NY,U.S. House New York District 22,Representative,Regular,6/26/18,Advanced,None,On the Ballot,-14.26,100.0,Yes,,No,No,Yes,No,No,No,Yes,,No,,,,,,,,Yes,,,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
Eddie Sundquist,esundquist,,NY,U.S. House New York District 23,Representative,Regular,6/26/18,Lost,None,None,-13.93,6.420000099999999,No,,No,Yes,No,No,Yes,No,,,No,,,,No,No,,,No,,,88.0,80.0,217.0,2.67012987012987,7,41,0,6,12,36,5,0,9,1,18,385
Ian Golden,GoldenForNY23,,NY,U.S. House New York District 23,Representative,Regular,6/26/18,Lost,None,None,-13.93,13.44,No,,No,No,No,No,No,No,,,No,,,,Yes,Yes,,,No,,,43.0,22.0,129.0,2.88659793814433,0,17,0,3,3,12,3,0,0,3,4,194
Linda Andrei,Linda4Congress,,NY,U.S. House New York District 23,Representative,Regular,6/26/18,Lost,None,None,-13.93,15.33,No,,No,No,No,No,Yes,No,,,No,,,,No,No,,,No,,,36.0,15.0,79.0,2.6615384615384614,2,31,0,3,9,9,3,0,0,0,16,130
Max Della Pia,DellaPiaForNY23,,NY,U.S. House New York District 23,Representative,Regular,6/26/18,Lost,None,None,-13.93,32.400002,No,,Yes,No,No,No,No,No,,,No,,,,No,No,,,No,,,57.0,28.0,119.0,2.607843137254902,9,19,0,2,1,4,3,0,1,0,27,204
Tracy Mitrano,MitranoForNY23,,NY,U.S. House New York District 23,Representative,Regular,6/26/18,Advanced,None,On the Ballot,-13.93,32.299999,Yes,,No,No,No,No,No,No,,,Yes,,,,No,No,,,Yes,,,150.0,100.0,505.0,2.9403973509933774,3,94,1,17,25,35,7,2,0,1,13,755
Dana Balter,dana_balter,,NY,U.S. House New York District 24,Representative,Regular,6/26/18,Advanced,None,On the Ballot,4.139999899999999,62.380001,Yes,,No,No,No,No,No,No,No,No,Yes,,,,Yes,No,Yes,Yes,Yes,No,,204.0,110.0,436.0,2.6186666666666665,26,66,7,9,18,26,11,1,5,4,65,750
Juanita Perez Williams,VoteForJuanita,,NY,U.S. House New York District 24,Representative,Regular,6/26/18,Lost,None,None,4.139999899999999,37.23,No,Nonwhite,Yes,No,No,No,No,No,Yes,Yes,Yes,,,,No,No,No,No,No,Yes,,18.0,7.0,38.0,2.6349206349206344,3,6,1,5,0,2,0,0,1,1,7,63
Adam McFadden,run_amc,,NY,U.S. House New York District 25,Representative,Regular,6/26/18,Lost,None,None,14.62,17.450001,No,Nonwhite,No,No,Yes,No,No,No,,,No,,,,No,,,,No,,,0.0,3.0,5.0,3.25,0,0,0,0,0,0,0,0,0,0,0,8
Joseph Morelle,RepJoeMorelle,votemorelle,NY,U.S. House New York District 25,Representative,Regular,6/26/18,Advanced,None,On the Ballot,14.62,45.290001000000004,Yes,,No,No,Yes,No,No,No,,,Yes,,,,No,,,,Yes,,,0.0,0.0,0.0,,25,40,5,2,7,23,7,0,4,8,50,303
Rachel Barnhart,rachbarnhart,,NY,U.S. House New York District 25,Representative,Regular,6/26/18,Lost,None,None,14.62,19.77,No,,No,No,No,No,No,No,,,Yes,,,,No,,,,No,,,3256.0,1693.0,2055.0,1.6570531125071388,31,23,21,22,28,123,13,26,6,4,177,7004
Robin Wilt,WiltForAssembly,rrwilt,NY,U.S. House New York District 25,Representative,Regular,6/26/18,Lost,None,None,14.62,17.35,No,Nonwhite,No,No,Yes,No,No,No,,,Yes,,,,Yes,,,,No,,,57.0,41.0,152.0,2.76,3,28,0,8,9,7,4,4,4,1,4,280
Nate McMurray,Nate_McMurray,,NY,U.S. House New York District 27,Representative,Regular,6/26/18,Advanced,None,On the Ballot,-24.01,100.0,Yes,White,No,No,Yes,No,No,No,,,,,,,,,,,Yes,,,673.0,899.0,2236.0,2.8209033613445382,0,0,0,0,0,0,0,0,0,0,0,0
Dennis J. Kucinich,Dennis_Kucinich,,OH,Governor of Ohio,Governor,Regular,5/8/18,Lost,None,None,-7.889999900000001,22.98,No,White,No,No,Yes,No,No,No,,,No,,No,,Yes,,,,,,,165.0,149.0,502.0,2.8259803921568634,92,87,4,4,43,95,14,3,6,17,11,816
