candidate,twitter_handle,state,district,office_type,race_type,race_primary,primary_status,primary_runoff_status,general_status,partisan_lean,primary_pctg,won_primary,race,veteran,lgbtq,elected_official,self_funder,stem,obama_alum,dem_party_support,emily_endorsed,guns_sense_candidate,biden_endorsed,warren_endorsed,sanders_endorsed,our_revolution_endorsed,justice_dems_endorsed,pccc_endorsed,indivisible_endorsed,wfp_endorsed,votevets_endorsed,no_labels_support,num_endorsements,num_non_endorsements
Marge Doyle,Marge4Congress,3,45,1,0,8,1,2,2,-17.33,59.610001000000004,2,1,0,1,0,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Rita Ramirez,none,3,45,1,0,8,1,2,2,-17.33,27.67,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Ronald O'Donnell,,3,45,1,0,8,1,2,2,-17.33,12.71,2,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Cary Kennedy,Kennedy4CO,4,3,0,0,7,1,2,0,2.49,24.719998999999998,0,1,0,0,1,0,0,0,2,1,1,2,2,2,2,2,2,2,2,2,2,,
Donna Lynne,DonnaLynneCO,4,3,0,0,7,1,2,0,2.49,7.280000200000001,0,1,0,0,1,0,0,0,2,0,0,2,2,2,2,2,2,2,2,2,2,,
Jared Polis,jaredpolis,4,3,0,0,7,0,2,1,2.49,44.43,1,1,0,1,1,1,0,0,2,0,0,2,2,2,2,2,2,2,2,2,2,,
Michael Johnston,MikeJohnstonCO,4,3,0,0,7,1,2,0,2.49,23.57,0,1,0,0,1,0,0,1,2,0,0,2,2,2,2,2,2,2,2,2,2,,
Joe Neguse,JoeNeguse,4,46,1,0,7,0,2,1,18.040001,65.82,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Mark Williams,MarkforColorado,4,46,1,0,7,1,2,0,18.040001,34.18,0,0,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Arn Menconi,ArnMenconi,4,47,1,0,7,1,2,0,-13.03,8.220000299999999,0,1,0,0,0,0,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,,
Diane Mitsch Bush,RepDMB,4,47,1,0,7,0,2,1,-13.03,64.099998,1,1,0,0,1,0,0,0,2,1,2,2,2,2,2,2,2,2,2,2,2,,
Karl Hanlon,HanlonforCO,4,47,1,0,7,1,2,0,-13.03,27.68,0,1,0,0,0,0,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,,
Chase Kohne,chasekohne4co,4,48,1,0,7,1,2,0,-24.68,35.32,0,1,1,0,0,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Karen McCormick,McCormickForCO,4,48,1,0,7,0,2,1,-24.68,64.629997,1,1,0,0,0,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Stephany Rose Spaulding,StephanyForCO,4,49,1,0,7,0,2,1,-25.73,100.0,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,1,2,2,2,2,2,,
Jason Crow,JasonCrowCO6,4,50,1,0,7,0,2,1,5.420000099999999,65.940002,1,1,1,0,0,0,0,0,1,2,2,2,2,2,0,2,2,2,2,1,2,,
Levi Tillemann,LeviTilleman,4,50,1,0,7,1,2,0,5.420000099999999,34.060001,0,1,0,0,0,0,1,1,0,2,2,2,2,2,1,2,2,2,2,0,2,,
Stacey Abrams,staceyabrams,5,4,0,0,4,0,2,1,-8.3400002,76.440002,1,0,0,0,1,0,0,0,2,1,2,2,2,1,1,2,1,2,1,2,2,,
Stacey Evans,EvansforGeorgia,5,4,0,0,4,1,2,0,-8.3400002,23.559998999999998,0,1,0,0,0,1,0,0,2,0,2,2,2,0,0,2,0,2,0,2,2,,
Barbara Seidman,,5,51,1,0,4,1,2,0,-17.379998999999998,32.459998999999996,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,2,2,2,,
Lisa Ring,LisaRingGA01,5,51,1,0,4,0,2,1,-17.379998999999998,67.540001,1,1,0,0,0,0,0,0,2,2,2,2,2,2,1,1,0,1,2,2,2,,
Chalis Montgomery,Chalis4GA,5,52,1,0,4,1,2,0,-28.209999,26.459999,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Richard Dien Winfield,WinfieldForUS,5,52,1,0,4,1,2,0,-28.209999,23.33,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Tabitha Johnson-Green,TJG4GA,5,52,1,0,4,0,2,1,-28.209999,50.200001,1,1,0,0,0,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Flynn Broady Jr.,flynndbroadyjr,5,53,1,0,4,0,2,1,-30.129998999999998,100.0,1,0,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Francys Johnson,francysjohnson,5,54,1,0,4,0,2,1,-17.629998999999998,52.860001000000004,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Robert Ingham,RobbieeInghamm,5,54,1,0,4,1,2,0,-17.629998999999998,31.15,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Trent Nesmith,VoteTrent18,5,54,1,0,4,1,2,0,-17.629998999999998,15.99,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Steven Foster,,5,55,1,0,4,0,2,1,-54.18,100.0,1,1,0,0,0,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Chuck Enderlin,Vote_Chuck,5,56,1,0,4,0,2,1,-34.380001,59.869999,1,1,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Rusty Oliver,OliverForGA3rd,5,56,1,0,4,1,2,0,-34.380001,40.130001,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Bobby Kaple,BobbKaple,5,57,1,0,4,1,2,0,-9.4799995,26.25,0,1,0,0,0,0,0,0,2,0,0,2,2,2,2,2,2,2,2,2,2,,
Kevin Abel,AbelForChange,5,57,1,0,4,0,1,0,-9.4799995,30.540001,0,1,0,0,0,0,1,0,2,0,0,2,2,2,2,2,2,2,2,2,2,,
Lucy McBath,lucymcbath,5,57,1,0,4,0,0,1,-9.4799995,36.27,1,0,0,0,0,0,1,0,2,1,1,2,2,2,2,2,2,2,2,2,2,,
Steven Knight Griffin,SKnightGriffin,5,57,1,0,4,1,2,0,-9.4799995,6.9499998,0,1,0,0,0,0,0,0,2,0,0,2,2,2,2,2,2,2,2,2,2,,
Carolyn Bourdeaux,Carolyn4GA7,5,58,1,0,4,0,0,1,-12.73,27.280001000000002,1,1,0,0,0,0,0,0,2,1,2,2,2,2,0,2,2,2,2,2,2,,
David Kim,DavidKim2018,5,58,1,0,4,0,1,0,-12.73,25.98,0,0,0,0,0,1,0,0,2,0,2,2,2,2,0,2,2,2,2,2,2,,
Ethan Pham,VoteEthanPham,5,58,1,0,4,1,2,0,-12.73,17.84,0,0,0,0,0,0,0,0,2,0,2,2,2,2,0,2,2,2,2,2,2,,
Kathleen Allen,,5,58,1,0,4,1,2,0,-12.73,11.02,0,1,0,0,0,0,0,0,2,0,2,2,2,2,1,2,2,2,2,2,2,,
Melissa Davis,DavisforGA,5,58,1,0,4,1,2,0,-12.73,13.67,0,0,0,0,0,0,0,0,2,0,2,2,2,2,0,2,2,2,2,2,2,,
Steve Reilly,SteveReilly2018,5,58,1,0,4,1,2,0,-12.73,4.1999998,0,1,1,0,0,0,0,0,2,0,2,2,2,2,0,2,2,2,2,2,2,,
Dave Cooper,RealDavidCooper,5,59,1,0,4,1,2,0,-60.810001,47.27,0,1,1,0,0,0,0,0,2,2,2,2,2,2,0,2,2,1,2,2,2,,
Josh McCall,Mccallforall,5,59,1,0,4,0,2,1,-60.810001,52.73,1,1,0,0,0,0,0,0,2,2,2,2,2,2,1,2,2,0,2,2,2,,
Andy McGuire,DrAndyMcGuire,6,7,0,0,8,1,2,0,-8.1400003,5.25,0,1,0,0,0,0,1,0,2,2,0,2,2,2,0,2,0,2,0,2,2,,
Cathy Glasson,CathyGlasson,6,7,0,0,8,1,2,0,-8.1400003,20.549999,0,1,0,0,0,0,1,0,2,2,1,2,2,2,1,2,1,2,1,2,2,,
Fred Hubbell,FredHubbell,6,7,0,0,8,0,2,1,-8.1400003,55.41,1,1,0,0,0,1,0,0,2,2,0,2,2,2,0,2,0,2,0,2,2,,
John Norris,JohnNorrisIA,6,7,0,0,8,1,2,0,-8.1400003,11.44,0,1,0,0,0,0,0,1,2,2,0,2,2,2,0,2,0,2,0,2,2,,
Nate Boulton,NateBoulton,6,7,0,0,8,1,2,0,-8.1400003,4.9699998,0,1,0,0,1,0,0,0,2,2,0,2,2,2,0,2,0,2,0,2,2,,
Ross Wilburn,letsbeiowa,6,7,0,0,8,1,2,0,-8.1400003,2.1700001,0,0,0,0,0,0,0,0,2,2,0,2,2,2,0,2,0,2,0,2,2,,
Abby Finkenauer,Abby4Iowa,6,77,1,0,8,0,2,1,-1.73,66.800003,1,1,0,0,1,0,0,0,1,1,2,1,2,2,2,2,2,2,2,2,2,,
Courtney Rowe,RoweCourtneylr7,6,77,1,0,8,1,2,0,-1.73,7.5900002,0,1,0,0,0,0,1,0,0,0,2,0,2,2,2,1,2,2,2,2,2,,
George Ramsey,SenatorRobHogg,6,77,1,0,8,1,2,0,-1.73,6.369999900000001,0,0,1,0,0,0,0,0,0,0,2,0,2,2,2,2,2,2,2,2,2,,
Thomas Heckroth,HeckrothForIowa,6,77,1,0,8,1,2,0,-1.73,19.120001000000002,0,1,0,0,0,0,0,1,0,0,2,0,2,2,2,2,2,2,2,2,2,,
Cindy Axne,Axne4Congress,6,78,1,0,8,0,2,1,-4.110000100000001,57.799999,1,1,0,0,0,0,0,0,1,1,2,2,2,0,0,2,2,2,2,2,2,,
Eddie Mauro,eddiejmauro,6,78,1,0,8,1,2,0,-4.110000100000001,26.35,0,1,0,0,0,1,0,0,0,0,2,2,2,0,0,2,2,2,2,2,2,,
Pete D'Alessandro,peteforiowa,6,78,1,0,8,1,2,0,-4.110000100000001,15.58,0,1,0,0,0,0,0,0,0,0,2,2,2,1,1,2,2,2,2,2,2,,
J.D. Scholten,scholten4iowa,6,79,1,0,8,0,2,1,-25.110001,51.259997999999996,1,1,0,0,0,0,0,0,2,2,2,2,2,2,1,2,2,2,1,2,2,,
John Paschen,apaschenforiowa,6,79,1,0,8,1,2,0,-25.110001,16.719998999999998,0,1,0,0,0,0,1,0,2,2,2,2,2,2,0,2,2,2,0,2,2,,
Leann Jacobsen,LeannForIowa,6,79,1,0,8,1,2,0,-25.110001,31.92,0,1,0,0,1,0,0,0,2,2,2,2,2,2,0,2,2,2,0,2,2,,
