candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,partisan_lean,primary_pctg,won_primary,race,veteran,lgbtq,elected_official,self_funder,stem,obama_alum,dem_party_support,emily_endorsed,gun_sense_candidate,biden_endorsed,warren_endorsed,sanders_endorsed,our_revolution_endorsed,justice_dems_endorsed,pccc_endorsed,indivisible_endorsed,wfp_endorsed,votevets_endorsed,no_labels_support,has_twitter,num_endorsements,gun_control_tweet_count,health_care_tweet_count,abortion_tweet_count,immigration_tweet_count,kavanaugh_tweet_count,education_tweet_count,jobs_tweet_count,tax_tweet_count,fake_news_tweet_count,environment_tweet_count,sexual_assault_tweet_count,gender_tweet_count,women_tweet_count,lgbt_tweet_count,freedom_tweet_count,trump_tweet_count,num_tweets
Fayrouz Saad,FayrouzSaad,,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,None,None,-7.179999799999999,19.5,No,Nonwhite,No,No,No,No,No,Yes,,,,,,,,Yes,,,,,,True,1,0,2,2,3,7,0,0,0,0,1,3,3,3,0,0,5,79
Haley Stevens,HaleyLive,,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-7.179999799999999,27.0,Yes,White,No,No,No,No,No,Yes,,,,,,,,No,,,,,,True,0,49,36,0,8,2,10,34,2,0,3,2,2,2,3,2,29,955
Nancy Skinner,CkunateTakjer,,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,None,None,-7.179999799999999,10.4,No,White,No,No,No,No,No,No,,,,,,,,No,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suneel Gupta,suneel,,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,None,None,-7.179999799999999,21.299999,No,Nonwhite,No,No,No,No,Yes,No,,,,,,,,No,,,,,,True,0,26,35,1,4,2,17,25,5,0,6,9,9,9,2,4,66,427
Tim Greimel,RepGreimel,,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,None,None,-7.179999799999999,21.799999,No,White,No,No,Yes,No,No,No,,,,,,,,No,,,,,,True,0,25,19,6,5,1,15,42,2,0,3,2,2,3,3,3,11,449
Bill Wild,MayorWild,,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Lost,None,None,60.720001,14.0,No,White,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,,True,0,1,1,0,6,0,4,13,1,0,2,0,0,0,0,2,9,440
Bill Wild,MayorWild,,MI,U.S. House Michigan District 13,Representative,Special,8/7/18,Lost,None,None,60.720001,15.2,No,White,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,,True,0,1,1,0,6,0,4,13,1,0,2,0,0,0,0,2,9,440
Brenda Jones,VoteBrendaJones,,MI,U.S. House Michigan District 13,Representative,Special,8/7/18,Advanced,None,On the Ballot,60.720001,37.700001,Yes,Nonwhite,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,,True,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,21
Brenda Jones,VoteBrendaJones,,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Lost,None,None,60.720001,29.200001,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,,True,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,21
Coleman Young II,ColemanYoungII,,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Lost,None,None,60.720001,12.0,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,,True,0,2,3,0,0,0,0,1,2,0,0,0,0,0,0,3,3,298
Ian Conyers,ianconyers,,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Lost,None,None,60.720001,6.3000002,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,,True,0,22,4,0,2,0,5,1,0,0,2,1,1,1,2,2,2,570
Ian Conyers,ianconyers,,MI,U.S. House Michigan District 13,Representative,Special,8/7/18,Lost,None,None,60.720001,11.2,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,,True,0,22,4,0,2,0,5,1,0,0,2,1,1,1,2,2,2,570
Rashida Tlaib,RashidaTlaib,,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Advanced,None,On the Ballot,60.720001,33.200001,Yes,Nonwhite,No,No,Yes,No,No,Yes,,,,,,,Yes,Yes,Yes,,,,No,True,3,9,17,0,6,9,9,18,2,0,6,3,3,3,2,0,36,641
Rashida Tlaib,RashidaTlaib,,MI,U.S. House Michigan District 13,Representative,Special,8/7/18,Lost,None,None,60.720001,35.900002,No,Nonwhite,No,No,Yes,No,No,Yes,,,,,,,Yes,Yes,Yes,,,,No,True,3,9,17,0,6,9,9,18,2,0,6,3,3,3,2,0,36,641
Shanelle Jackson,ElectShanelle,,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Lost,None,None,60.720001,5.3000002,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25
Cathy Albro,cathyalbro,,MI,U.S. House Michigan District 3,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-11.41,68.199997,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,True,1,2,3,0,1,0,4,2,2,0,5,2,2,2,0,0,7,99
Fred Wooden,fred_wooden,,MI,U.S. House Michigan District 3,Representative,Regular,8/7/18,Lost,None,None,-11.41,31.799999,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,True,0,18,7,3,12,0,1,7,11,1,1,1,1,1,0,0,20,282
Jerry Hilliard,HilliardForCong,,MI,U.S. House Michigan District 4,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-23.129999,66.400002,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,True,0,2,4,0,1,1,1,2,0,0,0,0,0,0,0,2,2,42
Zigmond Kozicki,zigpsych,,MI,U.S. House Michigan District 4,Representative,Regular,8/7/18,Lost,None,None,-23.129999,33.599998,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,True,0,0,8,0,1,0,0,3,3,0,0,0,0,1,0,0,1,21
David Benac,David_Benac,,MI,U.S. House Michigan District 6,Representative,Regular,8/7/18,Lost,None,None,-9.1800003,21.700001,No,White,No,No,No,No,No,No,,,Yes,,,,Yes,Yes,,,,,,True,3,16,43,2,11,5,21,53,6,0,20,0,0,0,6,3,46,739
George Franklin,franklin4mich,,MI,U.S. House Michigan District 6,Representative,Regular,8/7/18,Lost,None,None,-9.1800003,28.1,No,White,No,No,No,No,No,No,,,Yes,,,,No,No,,,,,,True,1,18,16,1,3,0,12,11,1,0,5,0,0,0,5,0,13,282
Matt Longjohn,MattLongjohn,,MI,U.S. House Michigan District 6,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-9.1800003,37.299999,Yes,White,No,No,No,No,Yes,No,,,Yes,,,,No,No,,,,,,True,1,8,3,1,0,0,0,1,0,0,2,0,0,0,0,0,3,99
Rich Eichholz,RichEichholz,,MI,U.S. House Michigan District 6,Representative,Regular,8/7/18,Lost,None,None,-9.1800003,13.0,No,White,No,No,No,No,Yes,No,,,Yes,,,,No,No,,,,,,True,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,21
Gretchen Driskell,gdriskell,,MI,U.S. House Michigan District 7,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-16.059998999999998,85.199997,Yes,White,No,No,Yes,No,No,No,Yes,Yes,,,,,No,,,,,,,True,2,4,12,0,0,1,9,17,0,0,2,0,0,0,0,0,0,286
Steven Friday,,,MI,U.S. House Michigan District 7,Representative,Regular,8/7/18,Lost,None,None,-16.059998999999998,14.8,No,White,Yes,No,No,No,No,No,No,No,,,,,Yes,,,,,,,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286
Chris Smith,ChrisSmith2018,,MI,U.S. House Michigan District 8,Representative,Regular,8/7/18,Lost,None,None,-8.3299999,29.1,No,White,No,No,No,No,No,No,,No,,No,,,,,,,,,,True,0,19,12,1,9,0,2,3,9,1,1,0,0,0,0,0,42,182
Elissa Slotkin,ElissaSlotkin,,MI,U.S. House Michigan District 8,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-8.3299999,70.900002,Yes,White,No,No,No,No,No,Yes,,Yes,,Yes,,,,,,,,,,True,2,4,35,0,5,0,6,5,2,0,5,0,0,0,3,0,10,388
Andy Levin,Andy_Levin,,MI,U.S. House Michigan District 9,Representative,Regular,8/7/18,Advanced,None,On the Ballot,7.139999900000001,52.5,Yes,White,No,No,No,No,No,No,,No,Yes,,,,,,,,,,,True,1,7,31,6,6,10,17,49,5,0,12,1,1,2,10,9,39,428
Ellen Lipton,RepLipton,,MI,U.S. House Michigan District 9,Representative,Regular,8/7/18,Lost,None,None,7.139999900000001,42.400002,No,White,No,No,Yes,No,Yes,No,,Yes,Yes,,,,,,,,,,,True,2,15,24,15,11,1,11,14,1,0,6,0,0,0,5,2,24,224
Martin Brook,,,MI,U.S. House Michigan District 9,Representative,Regular,8/7/18,Lost,None,None,7.139999900000001,5.0999999,No,White,No,No,No,No,No,No,,No,Yes,,,,,,,,,,,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224
Bill Haas,votehaas,,MO,U.S. House Missouri District 2,Representative,Regular,8/7/18,Lost,None,None,-14.18,19.5,No,White,No,No,Yes,No,No,No,,,,,,,,,,,,No,,True,0,26,11,2,2,43,6,7,2,1,7,19,19,19,0,1,102,2510
Cort VanOstran,cortvo,,MO,U.S. House Missouri District 2,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-14.18,41.700001,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,No,,True,1,75,71,4,6,0,12,18,7,0,8,3,3,3,0,3,42,924
John Messmer,JohnMessmer,,MO,U.S. House Missouri District 2,Representative,Regular,8/7/18,Lost,None,None,-14.18,9.6999998,No,White,No,No,No,No,No,No,,,Yes,,,,,,,,,No,,True,1,14,3,0,1,0,2,1,2,5,1,0,0,0,0,0,99,582
Mark Osmack,mark_osmack,,MO,U.S. House Missouri District 2,Representative,Regular,8/7/18,Lost,None,None,-14.18,25.200001,No,White,Yes,No,No,No,No,No,,,Yes,,,,,,,,,Yes,,True,2,122,48,7,21,11,8,22,12,0,2,3,3,5,3,6,30,1643
Robert Hazel,RobertWHazel69,,MO,U.S. House Missouri District 2,Representative,Regular,8/7/18,Lost,None,None,-14.18,4.0,No,White,No,No,No,No,No,No,,,,,,,,,,,,No,,True,0,14,5,0,0,3,0,1,2,0,0,0,0,0,0,1,20,289
Hallie Thompson,HallieForMO,,MO,U.S. House Missouri District 4,Representative,Regular,8/7/18,Lost,None,None,-35.73,48.099998,No,White,No,No,No,No,Yes,No,,,Yes,,,,,,,,,,,True,1,2,2,1,1,0,1,9,0,0,0,0,0,1,1,0,1,81
Renee Hoagenson,ReneeHoagenson,,MO,U.S. House Missouri District 4,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-35.73,51.900002,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,True,0,4,99,0,1,7,32,87,31,0,28,0,0,1,1,3,29,1426
Ed Andres,,,MO,U.S. House Missouri District 6,Representative,Regular,8/7/18,Lost,None,None,-31.610001,27.700001,No,,,,,No,,No,,,,,,,No,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1426
Henry Martin,hmforcongress,,MO,U.S. House Missouri District 6,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-31.610001,41.5,Yes,Nonwhite,Yes,No,No,No,No,No,,,,,,,No,,,,,,,True,0,31,18,1,5,7,16,24,10,1,5,0,0,0,0,10,19,484
Winston Apple,WinstonApple,,MO,U.S. House Missouri District 6,Representative,Regular,8/7/18,Lost,None,None,-31.610001,30.799999,No,White,No,No,No,No,No,No,,,,,,,Yes,,,,,,,True,1,0,1,0,2,1,0,2,0,0,3,0,0,0,0,0,3,46
Jamie Schoolcraft,Schoolcraft4Mo,,MO,U.S. House Missouri District 7,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-46.130001,40.599998,Yes,White,Yes,No,Yes,No,Yes,No,,,Yes,,,,,Yes,,,,,,True,2,4,18,0,3,0,10,15,1,0,1,5,5,5,0,6,11,270
John Farmer de la Torre,farmer4ozarks,,MO,U.S. House Missouri District 7,Representative,Regular,8/7/18,Lost,None,None,-46.130001,21.700001,No,Nonwhite,No,No,No,No,No,No,,,No,,,,,No,,,,,,True,0,5,10,0,3,5,5,13,5,0,1,1,1,1,0,2,30,284
Kenneth Hatfield,,,MO,U.S. House Missouri District 7,Representative,Regular,8/7/18,Lost,None,None,-46.130001,22.299999,No,,,,,No,,No,,,No,,,,,No,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284
Vincent Jennings,vincentjennings,,MO,U.S. House Missouri District 7,Representative,Regular,8/7/18,Lost,None,None,-46.130001,15.4,No,,,,,No,,No,,,Yes,,,,,No,,,,,,True,1,46,38,6,13,4,8,23,6,0,4,2,2,2,4,5,36,2299
Michael Aycox,aycoxforms,,MS,U.S. House Mississippi District 3,Representative,Regular,6/5/18,Lost,None,None,-26.129999,30.66,No,,Yes,Yes,No,No,No,No,,,,,,,,,,,,,,True,0,2,6,0,1,0,7,1,0,0,1,0,0,1,3,1,1,212
Michael Evans,RepEvans45,,MS,U.S. House Mississippi District 3,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-26.129999,69.339996,Yes,,No,No,Yes,No,No,No,,,,,,,,,,,,,,True,0,0,1,0,2,0,1,2,0,0,0,0,0,0,0,1,0,205
David Baria,dbaria,,MS,U.S. Senate Mississippi,Senator,Regular,6/5/18,Advanced,Advanced,On the Ballot,-18.780001,30.98,Yes,White,No,No,Yes,No,No,No,,,,,,,,,,,,,,True,0,7,58,0,6,4,22,25,28,0,5,3,3,3,2,2,48,1016
Howard Sherman,shermanhoward,,MS,U.S. Senate Mississippi,Senator,Regular,6/5/18,Advanced,Lost,None,-18.780001,31.790001,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,True,0,1,0,0,0,0,1,8,5,0,0,9,9,9,1,0,5,202
Jensen Bohren,BohrenJensen,,MS,U.S. Senate Mississippi,Senator,Regular,6/5/18,Lost,None,None,-18.780001,3.21,No,,No,No,No,No,No,No,,,,,,,,,,,,,,True,0,11,23,1,0,0,3,17,6,0,2,0,0,2,3,1,3,451
Jerone Garland,,,MS,U.S. Senate Mississippi,Senator,Regular,6/5/18,Lost,None,None,-18.780001,4.8499999,No,Nonwhite,No,No,No,No,Yes,No,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451
Omeria Scott,,,MS,U.S. Senate Mississippi,Senator,Regular,6/5/18,Lost,None,None,-18.780001,24.200001,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451
Victor Maurice Jr.,,,MS,U.S. Senate Mississippi,Senator,Regular,6/5/18,Lost,None,None,-18.780001,4.96,No,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451
Grant Kier,KierForCongress,,MT,U.S. House Montana At-large District,Representative,Regular,6/5/18,Lost,None,None,-21.41,24.15,No,,No,No,No,No,Yes,No,,,No,,,,No,No,,,,,,True,0,1,2,2,1,0,1,0,3,0,2,0,0,0,0,1,3,67
Jared Pettinato,Jared_Pettinato,,MT,U.S. House Montana At-large District,Representative,Regular,6/5/18,Lost,None,None,-21.41,2.21,No,,No,No,No,No,No,No,,,No,,,,No,No,,,,,,True,0,5,7,2,2,7,3,23,21,0,21,0,0,0,0,6,2,461
John Heenan,Heenan4Montana,,MT,U.S. House Montana At-large District,Representative,Regular,6/5/18,Lost,None,None,-21.41,31.709999,No,,No,No,No,Yes,No,No,,,No,,,,Yes,Yes,,,,,,True,2,1,4,0,0,0,1,2,5,0,0,0,0,0,0,0,1,114
John Meyer,MeyerforMontana,,MT,U.S. House Montana At-large District,Representative,Regular,6/5/18,Lost,None,None,-21.41,3.3399999,No,,No,No,No,No,Yes,No,,,Yes,,,,No,No,,,,,,True,1,1,1,0,0,1,0,1,0,0,2,0,0,0,0,0,2,49
Kathleen Williams,WilliamsForMT,,MT,U.S. House Montana At-large District,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-21.41,33.52,Yes,,No,No,Yes,No,No,No,,,Yes,,,,No,No,,,,,,True,1,24,44,4,3,0,2,12,6,0,2,1,1,2,1,1,4,386
Lynda Moss,for_moss,,MT,U.S. House Montana At-large District,Representative,Regular,6/5/18,Lost,None,None,-21.41,5.0599999,No,,No,No,Yes,No,No,No,,,No,,,,No,No,,,,,,True,0,1,2,0,0,0,2,2,0,0,0,0,0,1,0,0,1,29
Phillip Price,Price4WNC,,NC,U.S. House North Carolina District 11,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-29.559999,40.59,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,True,1,11,70,0,2,9,40,52,19,0,21,2,2,3,0,10,7,698
Scott Donaldson,ScottDonaldson4Congress,,NC,U.S. House North Carolina District 11,Representative,Regular,5/8/18,Lost,None,None,-29.559999,28.27,No,White,No,No,No,No,Yes,No,,,No,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steve Woodsmall,SteveWoodsmall,,NC,U.S. House North Carolina District 11,Representative,Regular,5/8/18,Lost,None,None,-29.559999,31.139999,No,White,Yes,No,No,No,No,No,,,No,,,,,,,,,,,True,0,25,9,5,4,0,3,25,1,0,7,0,0,0,2,3,8,353
Adam Coker,AdamFromNC,,NC,U.S. House North Carolina District 13,Representative,Regular,5/8/18,Lost,None,None,-11.28,29.860001,No,White,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,True,1,20,14,0,3,0,7,10,1,0,0,0,0,0,3,0,9,217
Kathy Manning,KathyManningNC,,NC,U.S. House North Carolina District 13,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-11.28,70.139999,Yes,White,No,No,No,No,No,No,Yes,Yes,No,,,,,,,,,,,True,2,4,41,0,2,0,20,21,6,0,2,0,0,0,0,3,0,496
Ken Romley,kenromley,,NC,U.S. House North Carolina District 2,Representative,Regular,5/8/18,Lost,None,None,-12.98,32.299999,No,White,No,No,No,Yes,Yes,No,,,Yes,,,,,,,,,,,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linda Coleman,LindaForNC,,NC,U.S. House North Carolina District 2,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-12.98,56.0,Yes,Nonwhite,No,No,Yes,No,No,No,,,Yes,,,,,,,,,,,True,1,8,29,1,0,0,12,33,2,0,3,0,0,0,0,0,1,164
Wendy May,ElectWendy2018,,NC,U.S. House North Carolina District 2,Representative,Regular,5/8/18,Lost,None,None,-12.98,11.7,No,White,Yes,Yes,No,No,No,No,,,Yes,,,,,,,,,,,True,1,24,7,1,1,0,3,6,0,2,5,0,0,0,19,1,17,385
Denise Adams,DDAdamsCongress,,NC,U.S. House North Carolina District 5,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-19.280001,54.400002,Yes,Nonwhite,No,No,Yes,No,No,No,,,No,,,,,No,,,Yes,,,True,1,46,27,5,4,1,29,32,12,0,6,0,0,0,7,7,32,1159
Jenny Marshall,Marshall4House,,NC,U.S. House North Carolina District 5,Representative,Regular,5/8/18,Lost,None,None,-19.280001,45.599998,No,White,No,No,No,No,No,No,,,Yes,,,,,Yes,,,No,,,True,2,25,41,0,14,2,30,31,9,0,9,4,4,4,8,0,86,843
Gerald Wong,Wong4Congress,,NC,U.S. House North Carolina District 6,Representative,Regular,5/8/18,Lost,None,None,-16.73,22.799999,No,Nonwhite,No,No,No,No,No,No,,,No,,,,,,,No,,,,True,0,13,23,0,0,5,0,4,6,0,0,1,1,1,0,0,24,254
Ryan Watts,watts4congress,,NC,U.S. House North Carolina District 6,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-16.73,77.199997,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,Yes,,,,True,2,15,41,2,5,1,23,43,19,4,5,1,1,1,1,2,29,902
Grayson Parker,graysonparker,,NC,U.S. House North Carolina District 7,Representative,Regular,5/8/18,Lost,None,None,-18.98,33.0,No,White,No,No,No,No,Yes,No,,,No,,,,,,,,,,,True,0,3,5,0,0,0,4,3,1,0,4,0,0,0,1,0,3,102
Kyle Horton,drkyle4congress,,NC,U.S. House North Carolina District 7,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-18.98,67.0,Yes,White,No,No,No,No,Yes,No,,,Yes,,,,,,,,,,,True,1,25,58,0,3,0,16,30,6,3,23,0,0,0,0,12,17,806
Frank McNeill,Frank4NC,,NC,U.S. House North Carolina District 8,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-16.360001,56.099998,Yes,White,No,No,No,No,No,No,,,No,,,,,,,,,,,True,0,1,4,0,1,0,8,5,0,0,0,0,0,0,0,1,4,163
Marc Tiegel,mtiegel,,NC,U.S. House North Carolina District 8,Representative,Regular,5/8/18,Lost,None,None,-16.360001,20.9,No,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,True,1,15,4,0,2,0,4,6,0,1,5,0,0,0,1,1,14,371
Scott Huffman,ElectScottNC08,,NC,U.S. House North Carolina District 8,Representative,Regular,5/8/18,Lost,None,None,-16.360001,23.0,No,White,Yes,No,No,No,No,No,,,Yes,,,,,,,,,,,True,1,131,47,1,50,15,25,65,16,7,15,9,9,9,3,4,368,2412
Christian Cano,Cano4CongressNC,,NC,U.S. House North Carolina District 9,Representative,Regular,5/8/18,Lost,None,None,-14.13,17.200001,No,Nonwhite,No,Yes,No,No,No,No,No,,,,,,,,,No,,No,,True,0,52,51,5,2,5,3,4,1,0,3,22,22,22,25,2,28,592
Dan McCready,McCreadyForNC,,NC,U.S. House North Carolina District 9,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-14.13,82.800003,Yes,White,Yes,No,No,No,No,No,Yes,,,,,,,,,Yes,,Yes,,True,3,0,8,0,1,0,9,9,4,0,5,0,0,0,0,6,3,504
Mac Schneider,mac4northdakota,,ND,U.S. House North Dakota At-large District,Representative,Regular,6/12/18,Advanced,None,On the Ballot,-34.779999,100.0,Yes,,No,No,Yes,No,No,No,,,,,,,,,,,,,,True,0,1,20,0,1,0,0,7,3,0,2,0,0,0,0,0,5,255
Bob Krist,bobkristne,,NE,Governor of Nebraska,Governor,Regular,5/15/18,Advanced,None,On the Ballot,-26.76,59.810001,Yes,White,Yes,No,Yes,No,No,No,,,,,,,,,,,No,,,True,0,10,31,1,0,0,10,11,28,0,0,0,0,0,1,4,11,628
Tyler Davis,TylerDavis4NE,,NE,Governor of Nebraska,Governor,Regular,5/15/18,Lost,None,None,-26.76,11.39,No,White,No,No,No,No,No,No,,,,,,,,,,,No,,,True,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40
Vanessa Ward,ApostleVWard,ForWardGovernor,NE,Governor of Nebraska,Governor,Regular,5/15/18,Lost,None,None,-26.76,28.799999,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,No,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218
Dennis Crawford,DennisPCrawford,,NE,U.S. House Nebraska District 1,Representative,Regular,5/15/18,Lost,None,None,-22.66,33.900002,No,,No,No,No,No,No,No,,,Yes,,,,,,,,No,,,True,1,113,204,10,40,75,10,50,189,0,22,1,1,1,5,11,463,2413
Jessica McClure,Clure4Congress,,NE,U.S. House Nebraska District 1,Representative,Regular,5/15/18,Advanced,None,On the Ballot,-22.66,66.099998,Yes,,No,No,No,No,Yes,No,,,Yes,,,,,,,,No,,,True,1,20,64,8,12,2,18,23,13,0,11,11,11,11,26,4,23,923
Brad Ashford,RepBradAshford,BradAshford18,NE,U.S. House Nebraska District 2,Representative,Regular,5/15/18,Lost,None,None,-5.98,48.360001,No,,No,No,Yes,No,No,No,Yes,,Yes,,,,,No,No,,No,,,True,2,67,38,1,14,8,11,29,32,0,6,1,1,1,2,2,121,1071
Kara Eastman,karaforcongress,,NE,U.S. House Nebraska District 2,Representative,Regular,5/15/18,Advanced,None,On the Ballot,-5.98,51.639999,Yes,,No,No,No,No,No,No,No,,Yes,,,,,Yes,Yes,,Yes,,,True,4,35,85,3,19,11,20,29,13,0,23,1,1,1,3,10,32,883
Chris Janicek,,,NE,U.S. Senate Nebraska,Senator,Regular,5/15/18,Lost,None,None,-26.76,20.219999,No,,No,No,No,No,No,No,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,883
Frank Svoboda,,,NE,U.S. Senate Nebraska,Senator,Regular,5/15/18,Lost,None,None,-26.76,11.37,No,,Yes,No,Yes,No,No,No,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,883
Jane Raybould,JaneRaybould,,NE,U.S. Senate Nebraska,Senator,Regular,5/15/18,Advanced,None,On the Ballot,-26.76,63.68,Yes,,No,No,Yes,No,No,No,,,,,,,,,,,,,,True,0,23,53,0,6,9,17,20,11,0,5,3,3,3,1,2,12,755
Larry Marvin,,,NE,U.S. Senate Nebraska,Senator,Regular,5/15/18,Lost,None,None,-26.76,4.7399998,No,,Yes,No,No,No,No,No,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,755
Alison Heslin,alisonheslin,Heslin4Congress,NJ,U.S. House New Jersey District 11,Representative,Regular,6/5/18,Lost,None,None,-4.6599998,2.7,No,,No,No,No,No,Yes,No,No,No,,No,,,,,,,,No,,True,0,36,10,5,11,0,3,9,5,0,47,2,2,2,3,0,19,431
Mark Washburne,MarkWashburne,,NJ,U.S. House New Jersey District 11,Representative,Regular,6/5/18,Lost,None,None,-4.6599998,3.4000001,No,,No,No,No,No,No,No,No,No,,No,,,,,,,,No,,True,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,47
Mikie Sherrill,MikieSherrill,,NJ,U.S. House New Jersey District 11,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-4.6599998,77.5,Yes,,Yes,No,No,No,No,No,Yes,Yes,,Yes,,,,,,,,Yes,,True,4,59,86,5,6,1,6,24,20,0,11,1,1,1,9,10,12,1032
Mitchell Cobert,Mitchell_Cobert,,NJ,U.S. House New Jersey District 11,Representative,Regular,6/5/18,Lost,None,None,-4.6599998,1.9,No,,No,No,No,No,No,No,No,No,,No,,,,,,,,No,,True,0,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,2,90
Tamara Harris,TamaraforNJ,,NJ,U.S. House New Jersey District 11,Representative,Regular,6/5/18,Lost,None,None,-4.6599998,14.5,No,Nonwhite,No,No,No,Yes,No,No,No,No,,No,,,,,,,,No,,True,0,42,32,3,12,0,15,10,5,0,6,3,3,3,0,2,21,983
Jeff Van Drew,JeffVanDrew,VanDrewForNJ,NJ,U.S. House New Jersey District 2,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-3.96,55.400002,Yes,White,No,No,Yes,No,No,No,Yes,,,,,,,,,No,,,,True,1,1,27,0,4,2,5,7,2,0,7,1,1,1,0,3,3,274
Nathan Kleinman,NateKleinman451,NateForCongress,NJ,U.S. House New Jersey District 2,Representative,Regular,6/5/18,Lost,None,None,-3.96,8.6000004,No,,No,No,No,No,No,No,No,,,,,,,,,No,,,,True,0,5,1,0,0,0,0,0,0,0,2,0,0,0,0,0,7,40
