candidate,state,district,office_type,race_type,race_primary,primary_status,primary_runoff_status,general_status,partisan_lean,primary_pctg,won_primary,race,veteran,lgbtq,elected_official,self_funder,stem,obama_alum,dem_party_support,emily_endorsed,guns_sense_candidate,biden_endorsed,warren_endorsed,sanders_endorsed,our_revolution_endorsed,justice_dems_endorsed,pccc_endorsed,indivisible_endorsed,wfp_endorsed,votevets_endorsed,no_labels_support,num_endorsements,num_non_endorsements
Herbert Lee,3,38,1,0,7,Lost,None,None,2.99,9.4200001,0,0,0,0,0,1,1,0,0,0,0,2,2,2,0,2,2,0,2,0,2,0,7
Mai Khanh Tran,3,38,1,0,7,Lost,None,None,2.99,11.69,0,0,0,0,0,1,1,0,0,1,1,2,2,2,0,2,2,0,2,0,2,2,5
Sam Jammal,3,38,1,0,7,Lost,None,None,2.99,11.98,0,0,0,0,0,0,0,1,0,0,1,2,2,2,0,2,2,1,2,0,2,3,4
Suzi Park Leggett,3,38,1,0,7,Lost,None,None,2.99,3.24,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,2,0,2,0,2,0,7
Jessica Morse,3,39,1,0,7,Advanced,None,On the Ballot,-18.16,49.099998,1,1,0,0,0,0,0,0,2,2,1,2,2,2,0,0,2,1,2,2,2,2,3
Regina Bateson,3,39,1,0,7,Lost,None,None,-18.16,30.07,0,1,0,0,0,0,0,0,2,2,1,2,2,2,0,0,2,0,2,2,2,1,4
Robert Lawton,3,39,1,0,7,Lost,None,None,-18.16,5.25,0,1,0,0,0,0,0,0,2,2,0,2,2,2,0,0,2,0,2,2,2,0,5
Roza Calderon,3,39,1,0,7,Lost,None,None,-18.16,15.57,0,0,0,0,0,0,1,0,2,2,1,2,2,2,1,1,2,0,2,2,2,3,2
Julia Peacock,3,40,1,0,7,Advanced,None,On the Ballot,-15.31,76.019997,1,1,0,0,0,0,0,0,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1
Norman Quintero,3,40,1,0,7,Lost,None,None,-15.31,23.98,0,0,0,0,0,0,0,0,2,2,0,2,2,2,2,2,2,0,2,2,2,0,3
Brian Forde,3,41,1,0,7,Lost,None,None,-1.4299998999999999,13.06,0,1,0,0,0,0,1,1,0,0,1,2,0,2,0,2,0,2,2,2,2,2,5
Dave Min,3,41,1,0,7,Lost,None,None,-1.4299998999999999,38.740002000000004,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,2,0,2,2,2,2,1,6
Katie Porter,3,41,1,0,7,Advanced,None,On the Ballot,-1.4299998999999999,44.040001000000004,1,1,0,0,0,0,0,0,1,1,1,2,1,2,1,2,1,2,2,2,2,6,1
Kia Hamadanchy,3,41,1,0,7,Lost,None,None,-1.4299998999999999,4.1500001000000015,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,2,0,2,2,2,2,2,5
Deanie Schaarsmith,3,42,1,0,7,Lost,None,None,-4.1799998,1.79,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,0,2,0,2,2,2,0,6
Hans Keirstead,3,42,1,0,7,Lost,None,None,-4.1799998,37.439999,0,1,0,0,0,1,1,0,0,0,1,2,2,2,2,0,2,0,2,2,2,1,5
Harley Rouda,3,42,1,0,7,Advanced,None,On the Ballot,-4.1799998,37.599998,1,1,0,0,0,1,0,0,1,0,1,2,2,2,2,0,2,1,2,2,2,3,3
Laura Oatman,3,42,1,0,7,Lost,None,None,-4.1799998,3.01,0,1,0,0,0,0,1,0,0,0,0,2,2,2,2,1,2,0,2,2,2,1,5
Michael Kotick,3,42,1,0,7,Lost,None,None,-4.1799998,3.26,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,0,2,0,2,2,2,0,6
Omar Siddiqui,3,42,1,0,7,Lost,None,None,-4.1799998,10.81,0,0,0,0,0,1,1,0,0,0,1,2,2,2,2,0,2,0,2,2,2,1,5
Rachel Payne,3,42,1,0,7,Lost,None,None,-4.1799998,4.4899998,0,1,0,0,0,0,1,0,0,1,0,2,2,2,2,0,2,0,2,2,2,1,5
Tony Zarkades,3,42,1,0,7,Lost,None,None,-4.1799998,1.6,0,1,1,0,0,0,1,0,0,0,0,2,2,2,2,0,2,0,2,2,2,0,6
Douglas Applegate,3,43,1,0,7,Lost,None,None,1.42,25.76,0,1,1,0,0,0,0,0,0,0,2,2,2,2,2,1,0,2,2,1,2,2,4
