candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,partisan_lean,primary_pctg,won_primary,race,veteran,lgbtq,elected_official,self_funder,stem,obama_alum,dem_party_support,emily_endorsed,gun_sense_candidate,biden_endorsed,warren_endorsed,sanders_endorsed,our_revolution_endorsed,justice_dems_endorsed,pccc_endorsed,indivisible_endorsed,wfp_endorsed,votevets_endorsed,no_labels_support,count_negative,count_neutral,count_positive,sentiment
Klement Tinaj,TinajKlement,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,0.12,No,Nonwhite,No,No,No,No,No,No,,,No,,,,No,,,,,,,3,3,14,3.1
Michael Shellenberger,ShellenbergerMD,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,0.73000002,No,White,No,No,No,No,No,No,,,No,,,,No,,,,,,,2550,1542,1486,1.6185012549300826
Robert Davidson Griffis,griff4gov,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,0.25999999,No,White,No,No,No,No,No,No,,,No,,,,No,,,,,,,1,2,18,3.619047619047619
Thomas Jefferson Cares,,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,0.20999999,No,White,No,No,No,No,Yes,No,,,No,,,,No,,,,,,,,,,
Audrey Denney,audrey4congress,,CA,U.S. House California District 1,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-21.379999,43.650002,Yes,White,No,No,No,No,No,No,,,,,,,Yes,Yes,,No,,,,66,53,292,3.099756690997567
David Peterson,HoldCongresAcct,,CA,U.S. House California District 1,Representative,Regular,6/5/18,Lost,None,None,-21.379999,7.3000002,No,White,No,No,No,No,No,No,,,,,,,No,No,,No,,,,610,665,1258,2.5116462692459534
Jessica Holcombe,jjonesholcombe,,CA,U.S. House California District 1,Representative,Regular,6/5/18,Lost,None,None,-21.379999,28.540001,No,White,No,No,No,No,No,No,,,,,,,No,No,,No,,,,91,66,267,2.830188679245283
Marty Walters,MartyWaltersEnv,,CA,U.S. House California District 1,Representative,Regular,6/5/18,Lost,None,None,-21.379999,20.51,No,White,No,No,No,No,No,No,,,,,,,No,No,,Yes,,,,182,140,382,2.5681818181818183
Dotty Nygard,DottyForTracy,,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,0.62,1.89,No,White,No,No,No,No,Yes,No,No,No,No,,,,Yes,Yes,,No,,,,73,60,182,2.6920634920634923
Josh Harder,joshua_harder,,CA,U.S. House California District 10,Representative,Regular,6/5/18,Advanced,None,On the Ballot,0.62,35.57,Yes,White,No,No,No,No,Yes,No,Yes,No,Yes,,,,No,No,,No,,,,138,114,358,2.721311475409836
