candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,primary_pctg,won_primary,rep_party_support,trump_endorsed,bannon_endorsed,great_america_endorsed,nra_endorsed,right_to_life_endorsed,susan_b_anthony_endorsed,club_for_growth_endorsed,koch_support,house_freedom_support,tea_party_endorsed,main_street_endorsed,chamber_endorsed,no_labels_support,count_negative,count_neutral,count_positive,sentiment,gun_control_tweet_count,health_care_tweet_count,abortion_tweet_count,immigration_tweet_count,education_tweet_count,jobs_tweet_count,environment_tweet_count,women_tweet_count,lgbt_tweet_count,freedom_tweet_count,trump_tweet_count,num_tweets
Joe Arpaio,RealSheriffJoe,,AZ,U.S. Senate Arizona,Senator,Regular,8/28/18,Lost,None,None,18.9,No,,,No,No,,,,,No,,,,,,70.0,108.0,231.0,2.7872860635696823,2,3,0,37,0,1,0,0,0,1,142,409
Kelli Ward,kelliwardaz,,AZ,U.S. Senate Arizona,Senator,Regular,8/28/18,Lost,None,None,28.1,No,,,Yes,Yes,,,,,No,,,,,,136.0,171.0,487.0,2.884130982367758,31,54,7,177,4,12,2,1,0,25,163,794
Martha McSally,MarthaMcSally,,AZ,U.S. Senate Arizona,Senator,Regular,8/28/18,Advanced,None,On the Ballot,53.0,Yes,,,No,No,,,,,Yes,,,,,,97.0,94.0,380.0,2.9912434325744313,0,10,0,60,2,15,0,0,0,9,33,571
John Cox,TheRealJohnHCox,,CA,Governor of California,Governor,Regular,6/5/18,Advanced,None,On the Ballot,70.15,Yes,,Yes,,,,Yes,,,,,,,,,200.0,148.0,414.0,2.5616797900262473,5,6,9,19,4,15,3,0,0,0,33,762
Peter Yuan Liu,PeterLiuCAGov18,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,1.08,No,,No,,,,No,,,,,,,,,18.0,11.0,24.0,2.2264150943396226,4,0,0,3,0,0,0,0,0,0,6,53
Robert Newman,michaelp594,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,1.77,No,,No,,,,No,,,,,,,,,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
Travis Allen,JoinTravisAllen,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,26.15,No,,No,,,,No,,,,,,,,,97.0,64.0,84.0,1.893877551020408,1,2,1,46,1,6,5,0,0,1,35,245
Yvonne Girard,,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,0.85,No,,No,,,,No,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,245
John Fitzgerald,JFitz4Congress,,CA,U.S. House California District 11,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,59.0,48.0,47.0,1.8441558441558439,0,0,0,0,0,0,0,0,0,0,0,0
Lisa Remmer,1776NotInVain,,CA,U.S. House California District 12,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,41.0,31.0,63.0,2.3259259259259255,0,0,0,0,0,0,0,0,0,0,0,0
Cristina Osmena,CristinaOsmena,,CA,U.S. House California District 14,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,27.0,16.0,70.0,2.7610619469026547,0,0,0,0,0,0,0,0,0,0,0,0
Rudy Peters,PetersCongress,,CA,U.S. House California District 15,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,182.0,91.0,145.0,1.8229665071770336,0,0,0,0,0,0,0,0,0,0,0,0
Elizabeth Heng,ElizabethHeng,,CA,U.S. House California District 16,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,Yes,,,,,,,,,,,,,,55.0,36.0,168.0,2.8725868725868726,0,0,0,0,0,0,0,0,0,0,0,0
Ron Cohen,,,CA,U.S. House California District 17,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Christine Russell,,,CA,U.S. House California District 18,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Dale Mensing,MensingDale,,CA,U.S. House California District 2,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,3.0,3.0,2.0,1.75,0,0,0,0,0,0,0,0,0,0,0,0
