candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,partisan_lean,primary_pctg,won_primary,race,veteran,lgbtq,elected_official,self_funder,stem,obama_alum,dem_party_support,emily_endorsed,gun_sense_candidate,biden_endorsed,warren_endorsed,sanders_endorsed,our_revolution_endorsed,justice_dems_endorsed,pccc_endorsed,indivisible_endorsed,wfp_endorsed,votevets_endorsed,no_labels_support,has_twitter,num_endorsements,gun_control_tweet_count,health_care_tweet_count,abortion_tweet_count,immigration_tweet_count,kavanaugh_tweet_count,education_tweet_count,jobs_tweet_count,tax_tweet_count,fake_news_tweet_count,environment_tweet_count,sexual_assault_tweet_count,gender_tweet_count,women_tweet_count,lgbt_tweet_count,freedom_tweet_count,trump_tweet_count,num_tweets,count_negative,count_neutral,count_positive,sentiment,gun_control_sentiment,health_care_sentiment,abortion_sentiment,immigration_sentiment,kavanaugh_sentiment,education_sentiment,jobs_sentiment,tax_sentiment,fake_news_sentiment,environment_sentiment,sexual_assault_sentiment,gender_sentiment,women_sentiment,lgbt_sentiment,freedom_sentiment,trump_sentiment
Kara Eastman,karaforcongress,,NE,U.S. House Nebraska District 2,Representative,Regular,5/15/18,Advanced,None,On the Ballot,-5.98,51.639999,Yes,,No,No,No,No,No,No,No,,Yes,,,,,Yes,Yes,,Yes,,,True,4,35,85,3,19,11,20,29,13,0,23,1,1,1,3,10,32,883,248,247,388,0.2808607021517554,0.2,0.25,0.14285714285714285,0.29411764705882354,0.0,0.33783783783783783,0.2727272727272727,0.0,,0.275,0.0,0.0,0.0,0.14285714285714285,,0.2857142857142857
Chris Janicek,,,NE,U.S. Senate Nebraska,Senator,Regular,5/15/18,Lost,None,None,-26.76,20.219999,No,,No,No,No,No,No,No,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Frank Svoboda,,,NE,U.S. Senate Nebraska,Senator,Regular,5/15/18,Lost,None,None,-26.76,11.37,No,,Yes,No,Yes,No,No,No,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Jane Raybould,JaneRaybould,,NE,U.S. Senate Nebraska,Senator,Regular,5/15/18,Advanced,None,On the Ballot,-26.76,63.68,Yes,,No,No,Yes,No,No,No,,,,,,,,,,,,,,True,0,23,53,0,6,9,17,20,11,0,5,3,3,3,1,2,12,755,152,237,366,0.20132450331125828,0.2247191011235955,0.0,0.14285714285714285,0.08571428571428572,,0.25,0.1111111111111111,0.0,,0.1111111111111111,0.0,0.0,0.0,0.0,0.2222222222222222,0.12658227848101267
Larry Marvin,,,NE,U.S. Senate Nebraska,Senator,Regular,5/15/18,Lost,None,None,-26.76,4.7399998,No,,Yes,No,No,No,No,No,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Alison Heslin,alisonheslin,Heslin4Congress,NJ,U.S. House New Jersey District 11,Representative,Regular,6/5/18,Lost,None,None,-4.6599998,2.7,No,,No,No,No,No,Yes,No,No,No,,No,,,,,,,,No,,True,0,36,10,5,11,0,3,9,5,0,47,2,2,2,3,0,19,431,169,167,95,0.3921113689095128,0.3798076923076923,,0.3125,0.39285714285714285,,,0.25,,,,0.625,0.625,0.625,,,0.29166666666666663
Mark Washburne,MarkWashburne,,NJ,U.S. House New Jersey District 11,Representative,Regular,6/5/18,Lost,None,None,-4.6599998,3.4000001,No,,No,No,No,No,No,No,No,No,,No,,,,,,,,No,,True,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,47,9,11,27,0.1914893617021277,0.5,0.0,1.0,0.0,,0.0,,,,,1.0,1.0,1.0,,,0.0
Mikie Sherrill,MikieSherrill,,NJ,U.S. House New Jersey District 11,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-4.6599998,77.5,Yes,,Yes,No,No,No,No,No,Yes,Yes,,Yes,,,,,,,,Yes,,True,4,59,86,5,6,1,6,24,20,0,11,1,1,1,9,10,12,1032,209,229,594,0.20251937984496124,0.23529411764705882,0.24390243902439024,0.1,0.07142857142857142,0.2962962962962963,0.2727272727272727,0.1388888888888889,0.2857142857142857,,0.13513513513513514,0.2222222222222222,0.2222222222222222,0.2,0.3333333333333333,0.2,0.20652173913043478
Mitchell Cobert,Mitchell_Cobert,,NJ,U.S. House New Jersey District 11,Representative,Regular,6/5/18,Lost,None,None,-4.6599998,1.9,No,,No,No,No,No,No,No,No,No,,No,,,,,,,,No,,True,0,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,2,90,10,30,50,0.1111111111111111,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,,,0.14285714285714285,0.0,0.0,0.0,0.0,,0.1111111111111111
Tamara Harris,TamaraforNJ,,NJ,U.S. House New Jersey District 11,Representative,Regular,6/5/18,Lost,None,None,-4.6599998,14.5,No,Nonwhite,No,No,No,Yes,No,No,No,No,,No,,,,,,,,No,,True,0,42,32,3,12,0,15,10,5,0,6,3,3,3,0,2,21,983,321,298,364,0.3265513733468973,0.4222222222222222,0.18867924528301888,0.2631578947368421,0.22580645161290322,,0.6111111111111112,0.28846153846153844,0.18181818181818182,,0.25,0.0,0.0,0.3333333333333333,0.21052631578947367,1.0,0.25
