candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,primary_pctg,won_primary,rep_party_support,trump_endorsed,bannon_endorsed,great_america_endorsed,nra_endorsed,right_to_life_endorsed,susan_b_anthony_endorsed,club_for_growth_endorsed,koch_support,house_freedom_support,tea_party_endorsed,main_street_endorsed,chamber_endorsed,no_labels_support,has_twitter,num_endorsements,gun_control_tweet_count,health_care_tweet_count,abortion_tweet_count,immigration_tweet_count,kavanaugh_tweet_count,education_tweet_count,jobs_tweet_count,tax_tweet_count,fake_news_tweet_count,environment_tweet_count,sexual_assault_tweet_count,gender_tweet_count,women_tweet_count,lgbt_tweet_count,freedom_tweet_count,trump_tweet_count,num_tweets,count_negative,count_neutral,count_positive,sentiment
Chad Allen,AllenForArizona,,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,1.05,No,,,,,,,No,,No,No,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Brenden Dilley,,,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,1.03,No,,,,,,,No,,No,No,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Mark Yates,dry8s,,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,1.12,No,,,,,,,No,,No,No,,,,,False,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,68,0.27941176470588236,0.19117647058823528,0.5294117647058824,2.5
Dave Giles,VoteGiles,,AZ,U.S. House Arizona District 9,Representative,Regular,8/28/18,Lost,None,None,33.3,No,No,,,,,,,,,,,,,,False,0,21,6,6,31,0,2,8,3,0,0,0,0,0,0,6,64,210,0.14761904761904762,0.14285714285714285,0.7095238095238096,3.123809523809524
Steve Ferrara,steveferraramd,,AZ,U.S. House Arizona District 9,Representative,Regular,8/28/18,Advanced,None,On the Ballot,58.9,Yes,Yes,,,,,,,,,,,,,,False,1,3,14,0,6,1,8,4,6,0,2,0,0,0,0,3,3,329,0.08206686930091185,0.0425531914893617,0.8753799392097265,3.5866261398176293
Irina Baroness Von Behr,von_behr,,AZ,U.S. House Arizona District 9,Representative,Regular,8/28/18,Lost,None,None,7.8,No,No,,,,,,,,,,,,,,False,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,4,75,0.22666666666666666,0.22666666666666666,0.5466666666666666,2.64
Joe Arpaio,RealSheriffJoe,,AZ,U.S. Senate Arizona,Senator,Regular,8/28/18,Lost,None,None,18.9,No,,,No,No,,,,,No,,,,,,False,0,2,3,0,37,0,0,1,0,3,0,0,0,0,0,1,142,409,0.17114914425427874,0.26405867970660146,0.5647921760391198,2.7872860635696823
Kelli Ward,kelliwardaz,,AZ,U.S. Senate Arizona,Senator,Regular,8/28/18,Lost,None,None,28.1,No,,,Yes,Yes,,,,,No,,,,,,False,2,31,54,7,177,16,4,12,9,0,2,1,1,1,0,25,163,794,0.1712846347607053,0.21536523929471033,0.6133501259445844,2.884130982367758
Martha McSally,MarthaMcSally,,AZ,U.S. Senate Arizona,Senator,Regular,8/28/18,Advanced,None,On the Ballot,53.0,Yes,,,No,No,,,,,Yes,,,,,,False,1,0,10,0,60,7,2,15,12,1,0,0,0,0,0,9,33,571,0.16987740805604204,0.1646234676007005,0.6654991243432574,2.991243432574431
John Cox,TheRealJohnHCox,,CA,Governor of California,Governor,Regular,6/5/18,Advanced,None,On the Ballot,70.15,Yes,,Yes,,,,Yes,,,,,,,,,False,2,5,6,9,19,0,4,15,6,1,3,0,0,0,0,0,33,762,0.26246719160104987,0.1942257217847769,0.5433070866141733,2.561679790026247
Peter Yuan Liu,PeterLiuCAGov18,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,1.08,No,,No,,,,No,,,,,,,,,False,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,53,0.33962264150943394,0.20754716981132076,0.4528301886792453,2.2264150943396226
Robert Newman,michaelp594,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,1.77,No,,No,,,,No,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Travis Allen,JoinTravisAllen,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,26.15,No,,No,,,,No,,,,,,,,,False,0,1,2,1,46,4,1,6,13,0,5,0,0,0,0,1,35,245,0.39591836734693875,0.2612244897959184,0.34285714285714286,1.8938775510204082
Yvonne Girard,,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,0.85,No,,No,,,,No,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,-1,-1,-1,-1
Justin Fareed,JustinFareed,,CA,U.S. House California District 24,Representative,Regular,6/5/18,Advanced,None,On the Ballot,78.37,Yes,Yes,,,,Yes,,,,,,,,,,False,2,2,8,1,37,0,14,53,22,0,9,1,1,2,0,15,4,722,0.2894736842105263,0.2409972299168975,0.4695290858725762,2.3601108033241
Michael Erin Woody,MichaelWoodyCA,,CA,U.S. House California District 24,Representative,Regular,6/5/18,Lost,None,None,21.63,No,No,,,,No,,,,,,,,,,False,0,0,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,74,0.32432432432432434,0.06756756756756757,0.6081081081081081,2.5675675675675675
Antonio Sabato Jr.,AntonioSabatoJr,,CA,U.S. House California District 26,Representative,Regular,6/5/18,Advanced,None,On the Ballot,53.04,Yes,,,,,,,,,,,,,,,False,0,9,6,2,62,33,2,22,27,7,1,3,3,3,0,20,224,1701,0.1557907113462669,0.15696649029982362,0.6872427983539094,3.062904174015285
Jeffrey Burum,JeffreyBurum,,CA,U.S. House California District 26,Representative,Regular,6/5/18,Lost,None,None,46.96,No,,,,,,,,,,,Yes,,,,False,1,16,20,4,43,5,9,4,13,0,1,1,1,2,1,4,42,1195,0.1899581589958159,0.4100418410041841,0.4,2.420083682008368
Kimberlin Brown Pelzer,KimberlinBrown,,CA,U.S. House California District 36,Representative,Regular,6/5/18,Advanced,None,On the Ballot,51.61,Yes,Yes,,,,,,Yes,,,,,,,,False,2,1,4,1,12,1,0,7,12,0,0,0,0,0,0,4,8,343,0.13411078717201166,0.06705539358600583,0.7988338192419825,3.3294460641399417
Stephan Wolkowicz,,,CA,U.S. House California District 36,Representative,Regular,6/5/18,Lost,None,None,10.41,No,No,,,,,,No,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,-1,-1,-1,-1
Dan Ball,DanNewsManBall,,CA,U.S. House California District 36,Representative,Regular,6/5/18,Lost,None,None,17.39,No,No,,,,,,No,,,,,,,,False,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,8,241,0.13278008298755187,0.14107883817427386,0.7261410788381742,3.1867219917012446
Doug Hassett,1doughassett,,CA,U.S. House California District 36,Representative,Regular,6/5/18,Lost,None,None,11.21,No,No,,,,,,No,,,,,,,,False,0,14,0,7,12,0,1,1,0,0,0,0,0,0,0,2,1,278,0.17625899280575538,0.13309352517985612,0.6906474820143885,3.028776978417266
Robert Bentley,,,CA,U.S. House California District 36,Representative,Regular,6/5/18,Lost,None,None,9.38,No,No,,,,,,No,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,-1,-1,-1,-1
Young Kim,YoungKimCD39,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Advanced,None,On the Ballot,39.79,Yes,Yes,,,,,,Yes,,,,Yes,Yes,,,False,4,1,1,0,6,0,6,7,3,0,0,0,0,0,0,3,1,192,0.078125,0.07291666666666667,0.8489583333333334,3.5416666666666665
Bob Huff,bobhuff99,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,11.53,No,No,,,,,,No,,,,No,No,,,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,32,0.3125,0.09375,0.59375,2.5625
John Cullum,Cullum4Congress,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,2.24,No,No,,,,,,No,,,,No,No,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,1.0,4.0
Phil Liberatore,Phil_Liberatore,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,21.22,No,No,,,,,,No,,,,No,No,,,False,0,2,0,2,10,0,0,3,5,0,0,0,0,0,0,6,15,107,0.24299065420560748,0.102803738317757,0.6542056074766355,2.822429906542056
Shawn Nelson,NelsonforOC,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,12.45,No,Yes,,,,,,No,,,,No,No,,,False,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,7,3,75,0.05333333333333334,0.14666666666666667,0.8,3.493333333333333
Andrew Sarega,AndrewSarega,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,1.05,No,No,,,,,,No,,,,No,No,,,False,0,2,0,1,5,0,0,3,2,5,1,0,0,0,0,1,35,97,0.5360824742268041,0.16494845360824742,0.29896907216494845,1.5257731958762886
Steve Vargas,VoteVargas,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,5.29,No,No,,,,,,No,,,,No,No,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.07142857142857142,0.14285714285714285,0.7857142857142857,3.4285714285714284
Omar Navarro,RealOmarNavarro,,CA,U.S. House California District 43,Representative,Regular,6/5/18,Advanced,None,On the Ballot,56.02,Yes,,,,,,,,,,,,,,,False,0,7,3,3,16,3,2,8,3,7,0,0,0,0,1,8,100,1203,0.24522028262676643,0.2601828761429759,0.4945968412302577,2.4987531172069826
Frank DeMartini,frankdemartini,,CA,U.S. House California District 43,Representative,Regular,6/5/18,Lost,None,None,27.54,No,,,,,,,,,,,,,,,False,0,5,0,10,13,8,9,8,11,1,0,1,1,1,0,2,126,879,0.229806598407281,0.22639362912400454,0.5437997724687145,2.627986348122867
Edwin Duterte,DuterteCA,,CA,U.S. House California District 43,Representative,Regular,6/5/18,Lost,None,None,16.44,No,,,,,,,,,,,,,,,False,0,0,8,6,19,1,33,42,7,12,5,0,0,0,0,10,41,1173,0.2753623188405797,0.22932651321398123,0.49531116794543906,2.4398976982097187
Jazmina Saavedra,jazminasaavedra,,CA,U.S. House California District 44,Representative,Regular,6/5/18,Lost,None,None,58.53,No,,,,,,,,,,,,,,,False,0,15,9,7,13,1,0,1,1,2,0,0,0,0,6,1,161,717,0.200836820083682,0.19804741980474197,0.601115760111576,2.800557880055788
